INSTNM,PREDDEG,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Berea College,3,0.3401,NULL,879,30396,0.8293,0.6167,0.2262,12.8,5750,29786.5,34400
Brescia University,3,0.45,NULL,9885,27219,0.5006,0.2979,0.832,12.8,29347,51173,36800
Campbellsville University,3,0.6844,NULL,12170,31545,0.3799,0.4377,0.4725,16.8,19500,45765,32100
Centre College,3,0.6857,NULL,17104,46400,0.1555,0.8196,0.4888,2.5,26063,90526,45000
Clear Creek Baptist Bible College,3,NULL,NULL,6191,13615,0.7586,0.6154,0,0,NULL,21876,27000
University of the Cumberlands,3,0.7127,NULL,15364,30993,0.4437,0.4345,0.581,8.7,21505.5,48248,33300
Eastern Kentucky University,3,0.6002,8316,NULL,17801,0.4278,0.3888,0.5983,12.8,23179.5,40016,33100
Georgetown College,3,0.8219,NULL,15374,42036,0.3432,0.5656,0.7258,4.3,27000,79282.5,43000
Kentucky Mountain Bible College,3,0.5075,NULL,9002,15618,0.6429,0.7778,0.3929,15,NULL,18450,NULL
Kentucky State University,3,0.3774,11255,NULL,18387,0.5945,0.1797,0.679,28.6,34942,31104,26600
Kentucky Wesleyan College,3,0.671,NULL,13354,29725,0.472,0.3786,0.9071,10.5,23650,56064,36600
University of Kentucky,3,0.6861,10459,NULL,22420,0.2481,0.6184,0.4597,7.2,20500,57564,41500
Kentucky Christian University,3,0.5136,NULL,17636,29246,0.4948,0.3865,0.8049,11.9,27000,48450.5,28000
Lindsey Wilson College,3,NULL,NULL,15077,33342,0.6382,0.2983,0.8083,15.9,19169,30604,28000
University of Louisville,3,0.7112,10095,NULL,21922,0.2999,0.5343,0.4323,9.6,21500,45597.5,37700
Mid-Continent University,3,0.7031,NULL,27033,29971,0.5635,0.2538,0.5626,NULL,13835,41495,38300
Midway College,3,0.5381,NULL,18320,33132,0.5132,0.5246,0.7476,10.3,22845,37808,36600
Morehead State University,3,0.8449,8751,NULL,17805,0.3825,0.4035,0.511,12.5,24093,32312,31800
Murray State University,3,0.8217,7547,NULL,16397,0.3523,0.5291,0.4958,10.2,21583,46054.5,35500
Northern Kentucky University,3,0.467,5523,NULL,14603,0.3368,0.3792,0.5491,9.9,24458.5,53630,36100
University of Pikeville,3,1,NULL,13102,31005,0.4762,0.309,0.7168,12.5,19500,24191,30400
Spalding University,3,0.8108,NULL,15240,31021,0.4731,0.4019,0.7012,8.7,26980.5,33377.5,40000
Thomas More College,3,0.8775,NULL,18276,36843,0.2612,0.5703,0.5357,7.3,27000,66017.5,45800
Transylvania University,3,0.9615,NULL,15801,41374,0.2709,0.7224,0.5829,4.1,27000,82262,41100
Union College,3,0.7416,NULL,16454,31769,0.58,0.3418,0.7964,13.2,NULL,33780.5,32500
Western Kentucky University,3,0.9232,10415,NULL,16538,0.3934,0.4368,0.5413,13.7,24431,42198.5,34600
Centenary College of Louisiana,3,0.6597,NULL,14322,40578,0.3539,0.59,0.5358,11,25000,72994,39300
Dillard University,3,0.3544,NULL,15600,25343,0.7682,0.4566,0.8707,11.4,32925,31979,34000
Grambling State University,3,0.4363,13881,NULL,20881,0.7346,0.3167,0.8446,16.2,38172.5,23973,28300
Louisiana State University Health Sciences Center-New Orleans,3,NULL,NULL,NULL,NULL,0.2239,NULL,0.5177,0.9,16229,29650,61100
Louisiana State University-Alexandria,3,0.6074,11001,NULL,14276,0.4093,0.138,0.371,12.2,17750,25217,30500
Louisiana State University and Agricultural & Mechanical College,3,0.7623,6759,NULL,20422,0.1978,0.6914,0.3532,4.3,19500,52648,45900
Louisiana State University-Shreveport,3,0.8349,6278,NULL,15066,0.2997,0.3255,0.3237,10.5,20322,28984,36700
Louisiana College,3,0.7423,NULL,12652,22940,0.454,0.4251,0.589,10.9,22707,49554.5,39600
Louisiana Tech University,3,0.6744,7225,NULL,16983,0.2218,0.4934,0.304,7.5,20984.5,43568,41100
Loyola University New Orleans,3,0.8707,NULL,17004,46676,0.2972,0.5486,0.5825,5.3,26070,72625,41300
McNeese State University,3,0.6151,6711,NULL,14823,0.3639,0.3817,0.4129,12.9,21750,33535,36800
University of New Orleans,3,0.5036,7512,NULL,16212,0.3202,0.3214,0.3476,9,17821,27630.5,38400
Nicholls State University,3,0.8694,7931,NULL,16071,0.3935,0.4126,0.4958,8.6,21888.5,32069.5,35000
University of Louisiana at Monroe,3,0.7724,6418,NULL,14925,0.3727,0.4017,0.4092,10.7,21207,28606,35700
Northwestern State University of Louisiana,3,0.84,7019,NULL,16605,0.4023,0.3739,0.4878,12.6,23500,27444.5,35000
Our Lady of Holy Cross College,3,0.4847,NULL,10794,17887,0.4573,0.2805,0.6594,5.5,30158.5,29062.5,39100
Saint Joseph Seminary College,3,NULL,NULL,25898,30965,0.2308,0.75,0.0192,0,NULL,15651,NULL
Southeastern Louisiana University,3,0.448,7694,NULL,15729,0.3334,0.3582,0.3998,8.7,21465,32109.5,35400
Southern University and A & M College,3,0.359,14195,NULL,17928,0.6277,0.3183,0.7496,9.9,32075,23636,31600
Southern University at New Orleans,3,0.4888,8474,NULL,10889,0.6273,0.1119,0.6803,15.1,27269,16097,29000
University of Louisiana at Lafayette,3,0.593,6883,NULL,15342,0.3405,0.4482,0.3735,9.3,20898,35091,37900
Tulane University of Louisiana,3,0.2643,NULL,21579,58904,0.1617,0.7602,0.3702,5.5,27000,45863.5,52400
Xavier University of Louisiana,3,0.5443,NULL,19592,27550,0.5739,0.4804,0.7093,11.6,27000,38660.5,46500
College of the Atlantic,3,0.7367,NULL,15129,48639,0.3006,0.6905,0.5421,5.4,19000,56456,27000
Bates College,3,0.2417,NULL,11885,59285,0.1112,0.9299,0.255,1.4,17058,106531,53500
Bowdoin College,3,0.1495,NULL,6731,58200,0.1376,0.9326,0.1963,0.6,19500,89780.5,54800
Colby College,3,0.2604,NULL,6443,57300,0.1079,0.9251,0.205,2.5,19461,104003,53000
Husson University,3,0.7989,NULL,14188,25019,0.2796,0.4654,0.5926,9.7,26000,46670,37100
University of Maine at Augusta,3,NULL,9258,NULL,13927,0.5671,0.137,0.6228,22.7,21335.5,23089,26400
University of Maine at Farmington,3,0.837,11697,NULL,20415,0.4601,0.5511,0.7717,7.5,27000,58522,33200
University of Maine at Fort Kent,3,0.6293,10830,NULL,17314,0.3216,0.4273,0.4269,14.6,19973,35325,31200
University of Maine at Machias,3,0.854,7768,NULL,17380,0.4086,0.3091,0.4357,19.8,21250,28802,27000
University of Maine,3,0.8106,13534,NULL,22461,0.3718,0.5556,0.6405,6.3,27000,60423,38700
Maine Maritime Academy,3,0.6536,16759,NULL,23673,0.288,0.752,0.7978,5.1,27000,68682,74700
University of Maine at Presque Isle,3,NULL,8718,NULL,16492,0.3636,0.3077,0.4429,17.7,22012.5,33804,27200
University of New England,3,0.8584,NULL,25499,47931,0.2279,0.5966,0.6868,4.5,27000,74608,44800
Maine College of Art,3,0.9625,NULL,27356,43313,0.4309,0.45,0.8211,4.6,27000,62658,23700
Saint Joseph's College of Maine,3,0.7778,NULL,24230,43119,0.2435,0.5543,0.5758,5.7,27000,77122,37900
University of Southern Maine,3,0.828,14707,NULL,22290,0.3636,0.3356,0.5807,6.8,24250,49417,36500
Thomas College,3,0.7244,NULL,16057,33792,0.3331,0.4298,0.5895,9.3,23000,55433,36600
Unity College,3,0.8882,NULL,15988,34137,0.4413,0.5141,0.8585,3.9,27000,56517,36100
University of Baltimore,3,0.7295,14576,NULL,24835,0.4264,0.3759,0.5768,8,20500,31331,58000
Bowie State University,3,0.5176,9321,NULL,18581,0.4873,0.3524,0.6808,16.1,23320,45228,47000
Capitol College,3,0.5903,NULL,20898,30826,0.356,0.4286,0.5351,8.4,23000,53209,58900
Washington Adventist University,3,0.3271,NULL,15610,27990,0.5393,0.3651,0.7881,10.1,31250,42673,46800
Coppin State University,3,0.355,10266,NULL,16147,0.5964,0.1387,0.6943,22.5,19031,29366,37600
Frostburg State University,3,0.5945,14472,NULL,19454,0.35,0.4655,0.6128,10.4,22617.5,68365.5,43600
Goucher College,3,0.7173,NULL,15758,50840,0.2399,0.6792,0.5458,3.5,25000,88524,45500
Hood College,3,0.8102,NULL,17792,45230,0.3424,0.6644,0.7329,4.9,27000,72812,43100
Johns Hopkins University,3,0.1813,NULL,10235,58980,0.1307,0.9254,0.3918,1.7,18500,57761.5,69200
Loyola University Maryland,3,0.58,NULL,23657,56736,0.1414,0.8437,0.5407,2.9,27000,112164,62100
University of Maryland-University College,3,NULL,9358,NULL,13222,0.2391,0.0278,0.3028,9,21000,34322,50700
University of Maryland-Baltimore,3,NULL,NULL,NULL,NULL,0.2005,NULL,0.5014,1.6,14500,20052,80400
University of Maryland-Baltimore County,3,0.6315,13770,NULL,22024,0.2695,0.6458,0.4251,5.6,21500,59891,53500
University of Maryland-College Park,3,0.4699,9420,NULL,22933,0.1907,0.8406,0.3581,2.8,19500,75194,59100
Maryland Institute College of Art,3,0.5803,NULL,29302,52649,0.2429,0.7273,0.6126,4.4,27000,89961,31400
University of Maryland Eastern Shore,3,0.5502,11681,NULL,20587,0.5506,0.3246,0.6948,17.1,27500,40227,37800
Morgan State University,3,0.5757,12325,NULL,20108,0.6152,0.3375,0.8105,23,31000,40263.5,39700
Mount St Mary's University,3,0.6741,NULL,21338,45896,0.2269,0.6563,0.6374,4.6,27000,98879,50300
Ner Israel Rabbinical College,3,0.8154,NULL,5650,20300,0.1977,0.3061,0,0,NULL,19751,NULL
Notre Dame of Maryland University,3,0.4964,NULL,18522,41871,0.3024,0.5283,0.5355,5.2,27500,56669,48800
Salisbury University,3,0.5494,12002,NULL,20916,0.2209,0.6681,0.5213,6.5,20443,87919.5,47300
St Mary's College of Maryland,3,0.7204,9289,NULL,29174,0.152,0.7931,0.4135,1.4,21671.5,103581.5,48200
Sojourner-Douglass College,3,NULL,NULL,22048,26170,0.7078,0.1967,0.831,14.2,35500,24563,34100
St John's College,3,0.8099,NULL,23302,56867,0.2383,0.6338,0.6281,0,25500,87672.5,34300
Towson University,3,0.6034,10120,NULL,21596,0.2498,0.655,0.5047,5.2,19000,71279.5,49500
Stevenson University,3,0.5959,NULL,17872,38785,0.303,0.5613,0.6099,8.4,25000,77520,51400
Washington College,3,0.6655,NULL,18056,52243,0.1488,0.6821,0.6872,3.5,27000,108663.5,48300
McDaniel College,3,0.7587,NULL,14291,45866,0.3073,0.7175,0.6629,3.2,27000,89429,44600
New England College of Business and Finance,3,NULL,NULL,11287,14275,0.2008,1,0.3215,12,20704,NULL,NULL
American International College,3,0.6779,NULL,18348,40803,0.5027,0.4487,0.8331,6,27000,49259,42400
Amherst College,3,0.1428,NULL,3739,59060,0.1998,0.9578,0.1321,4.5,11185.5,85922,56800
Anna Maria College,3,0.7756,NULL,21556,42770,0.3655,0.469,0.7888,10,26000,67437,42400
Assumption College,3,0.7422,NULL,18615,46763,0.2297,0.7273,0.7146,3.5,27000,103026,52800
Babson College,3,0.2821,NULL,18935,58450,0.1613,0.9073,0.3737,1,27000,80987,85500
Boston Baptist College,3,0.8065,NULL,21040,31101,0.5,0.3182,0.75,9,26826,62144,NULL
Bay Path College,3,0.576,NULL,18157,40447,0.5289,0.555,0.8832,7.5,21538.5,45278,41900
Becker College,3,0.6255,NULL,25171,44041,0.3888,0.3069,0.8154,14.9,27166,54112,35800
Bentley University,3,0.4379,NULL,20544,54806,0.1554,0.8727,0.5074,1,27000,93494,74900
Berklee College of Music,3,0.3617,NULL,40424,56335,0.1889,0.4963,0.418,13.6,27000,79421,30300
Boston Architectural College,3,NULL,NULL,31544,36082,0.4418,0.0658,0.789,11.9,45202,46950.5,41600
Boston College,3,0.3222,NULL,16196,58639,0.1371,0.913,0.4131,1.4,19000,81102,67000
The Boston Conservatory,3,0.3645,NULL,35120,59631,0.1958,0.6716,0.5551,5.8,27000,84542,27500
Boston University,3,0.4561,NULL,23573,59036,0.1487,0.8448,0.4235,2,27000,91507,60600
Brandeis University,3,0.3704,NULL,14265,58850,0.1781,0.8959,0.5092,2.4,27000,97995,58800
Bridgewater State University,3,0.786,14680,NULL,19303,0.2372,0.5751,0.5298,7.9,24998,72560,41500
Cambridge College,3,NULL,NULL,23361,26815,0.3862,0.0245,0.545,8.5,24500,29506.5,36500
Clark University,3,0.6154,NULL,18293,47248,0.2071,0.8094,0.5548,3.6,26000,75720.5,44100
Curry College,3,0.6692,NULL,26219,47519,0.2555,0.4502,0.6274,8.6,26000,74416,43600
Eastern Nazarene College,3,0.5579,NULL,17454,36567,0.4928,0.5,0.4475,6.2,27000,59931,44400
Emerson College,3,0.4798,NULL,28795,51158,0.1702,0.8147,0.5678,2.5,23312,94808,44800
Emmanuel College,3,0.6049,NULL,25423,49487,0.2337,0.5808,0.6753,5.6,27000,81534,42400
Endicott College,3,0.7165,NULL,24687,44177,0.1575,0.7129,0.6392,2.8,27000,109499.5,42800
Fitchburg State University,3,0.7211,9013,NULL,17686,0.3416,0.5029,0.6887,7.8,21750,70609.5,42100
Framingham State University,3,0.5167,12515,NULL,21402,0.2829,0.5055,0.6681,6,23853,72222.5,43200
Gordon College,3,0.4133,NULL,21034,43140,0.2213,0.707,0.7229,1,27000,88787,41600
Hampshire College,3,0.6369,NULL,24301,57765,0.217,0.6607,0.5948,3.2,20000,88959,30800
Harvard University,3,0.0584,NULL,3386,57950,0.1016,0.9747,0.029,1.9,6000,33323.5,87200
Hebrew College,3,NULL,NULL,NULL,NULL,0.2857,NULL,0.2857,4.8,NULL,NULL,NULL
Hellenic College-Holy Cross Greek Orthodox School of Theology,3,NULL,NULL,26722,38080,0.2727,0.4118,0.3636,5.4,16267.5,39114,NULL
College of the Holy Cross,3,0.3297,NULL,15607,56706,0.1627,0.9136,0.5249,1.9,27000,108458,63700
Lasell College,3,0.7614,NULL,20741,43854,0.319,0.5294,0.8689,6.8,26000,77869,40900
Lesley University,3,0.6749,NULL,28746,47788,0.2621,0.4602,0.6356,4.4,25000,55849,36700
University of Massachusetts-Lowell,3,0.6397,10258,NULL,22861,0.2989,0.5426,0.597,7.3,25000,61757,48900
University of Massachusetts-Amherst,3,0.6294,12437,NULL,25665,0.2513,0.7266,0.6043,5.6,24250,75270.5,49600
University of Massachusetts-Boston,3,0.7141,8084,NULL,19763,0.3831,0.4358,0.5642,8.6,NULL,33287,45800
MCPHS University,3,0.8921,NULL,29807,43966,0.3009,0.7053,0.783,1.8,25000,61624,116400
Massachusetts College of Art and Design,3,0.6982,15901,NULL,25384,0.2565,0.7382,0.5535,9.3,26000,60374,34000
Massachusetts Institute of Technology,3,0.0815,NULL,6733,57010,0.1825,0.9307,0.1992,1.7,13645,79076,91600
Massachusetts Maritime Academy,3,0.7726,7519,NULL,22420,0.186,0.6667,0.7462,6.3,27000,86279,79500
Merrimack College,3,0.786,NULL,23675,46532,0.223,0.5995,0.735,4.5,27000,108518,55400
MGH Institute of Health Professions,3,NULL,NULL,NULL,NULL,0,NULL,0.7953,0.3,25000,51647,NULL
Montserrat College of Art,3,NULL,NULL,20004,37866,0.3788,0.5974,0.7601,10.3,27000,75050,25100
Mount Holyoke College,3,0.4681,NULL,14175,55496,0.203,0.8187,0.4533,5.6,21000,73414.5,44100
Mount Ida College,3,0.6065,NULL,25132,41565,0.3925,0.3952,0.7741,7.9,27000,61177,34700
School of the Museum of Fine Arts-Boston,3,0.7681,NULL,35055,52303,0.2731,0.6,0.5808,6.2,25125,52613,31600
The New England Conservatory of Music,3,0.2777,NULL,32275,54125,0.156,0.8588,0.4404,0.7,28626,33084,29500
New England College of Optometry,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,5383,88500
Newbury College,3,0.5953,NULL,21960,40611,0.5043,0.309,0.773,13.9,27000,48358.5,38300
Nichols College,3,0.8047,NULL,23873,44886,0.3502,0.4656,0.876,12.1,27000,81300.5,47100
Massachusetts College of Liberal Arts,3,0.672,11963,NULL,20025,0.4513,0.5659,0.8456,5.8,25000,56421.5,36400
The New England Institute of Art,3,NULL,NULL,27147,33728,0.4933,0.3539,0.8175,14.7,29444,53956,34900
Northeastern University,3,0.3231,NULL,20140,55914,0.1424,0.8256,0.4433,4.2,28804.5,83394,60100
College of Our Lady of the Elms,3,0.7492,NULL,16464,40802,0.3967,0.6788,0.7287,8.2,27000,71106.5,43700
Pine Manor College,3,0.6411,NULL,12779,36852,0.6562,0.3353,0.7098,28.3,32000,34277,34700
Regis College,3,0.7243,NULL,33913,47432,0.3577,0.4867,0.7215,11.3,27000,55309,43300
Saint John's Seminary,3,1,NULL,NULL,NULL,0,NULL,0,0,NULL,NULL,NULL
Salem State University,3,0.6929,11800,NULL,20601,0.3339,0.4558,0.5898,8.6,25428,51386,40400
Simmons College,3,0.4897,NULL,21140,51093,0.2573,0.7122,0.7305,2.1,26000,67781,51400
Smith College,3,0.4308,NULL,10360,57913,0.2264,0.8613,0.5428,3.1,19500,68708.5,42700
Springfield College,3,0.6992,NULL,20170,44829,0.2192,0.6856,0.8985,5.6,25000,50430,45100
University of Massachusetts-Dartmouth,3,0.7213,12581,NULL,23763,0.3799,0.4903,0.717,9.7,25921,69531.5,44800
Stonehill College,3,0.7091,NULL,19764,50677,0.1441,0.8483,0.6856,0.4,27000,116545,58800
Suffolk University,3,0.825,NULL,22900,45280,0.292,0.5489,0.5983,7.1,27000,64594,49900
Tufts University,3,0.1884,NULL,10291,58752,0.1132,0.9219,0.301,2.3,18125,64738,67800
Wellesley College,3,0.2911,NULL,10542,57164,0.1922,0.9068,0.2534,1.2,8225,74657,56700
Wentworth Institute of Technology,3,0.5761,NULL,25754,43850,0.2822,0.6251,0.722,4.5,27000,81863,54600
Western New England University,3,0.8151,NULL,23804,45850,0.2502,0.5961,0.748,5.6,27000,87684,55100
Westfield State University,3,0.7487,12199,NULL,19468,0.2609,0.585,0.6121,4.6,23026,78180,43300
Wheaton College,3,0.6737,NULL,20018,56934,0.2172,0.756,0.5941,5.1,24000,92594,46400
Wheelock College,3,0.7318,NULL,24909,45591,0.3466,0.5446,0.7918,3.9,27000,65102,36400
Williams College,3,0.1702,NULL,8202,59412,0.1903,0.9536,0.2478,1.8,12005,88403.5,58100
Worcester Polytechnic Institute,3,0.5159,NULL,27224,55866,0.1508,0.8124,0.5956,3.7,27000,93479,77600
Worcester State University,3,0.6062,10907,NULL,18494,0.271,0.4882,0.5427,5.8,19503,62776.5,43700
Adrian College,3,0.5628,NULL,15522,40199,0.4368,0.5445,0.8015,7.7,27000,71008.5,36500
Albion College,3,0.5639,NULL,19034,45690,0.2366,0.736,0.6172,5.3,27000,85027.5,45100
Alma College,3,0.6791,NULL,15096,43157,0.306,0.6118,0.9151,7.8,27000,74312,44700
Andrews University,3,0.3751,NULL,17118,33653,0.3155,0.6036,0.5554,7.6,29500,53737,36000
Aquinas College,3,0.7135,NULL,11191,34593,0.3356,0.5976,0.6993,9.2,25000,72085,38100
Calvin College,3,0.6975,NULL,18289,39013,0.2326,0.7273,0.5545,2.5,26870,93258,40900
Central Michigan University,3,0.6304,10704,NULL,21523,0.349,0.5929,0.7469,6.2,27000,70233.5,40000
Cleary University,3,0.7263,NULL,12685,17823,0.4984,0.4423,0.6828,7.7,26125,55340,50500
Concordia University-Ann Arbor,3,0.5374,NULL,17521,33441,0.4269,0.3723,0.8772,NULL,26750,66241,39000
College for Creative Studies,3,0.486,NULL,32827,46095,0.3702,0.5583,0.6999,6.6,28250,65746,40600
Davenport University,3,0.917,NULL,17374,25439,0.5275,0.3892,0.6966,12,30250,26029,29900
University of Detroit Mercy,3,0.6147,NULL,24261,48027,0.2873,0.5682,0.6161,6.1,25000,44772,42200
Eastern Michigan University,3,0.6398,11017,NULL,18905,0.447,0.3844,0.7528,12.9,26000,52069,37300
Ferris State University,3,0.759,10329,NULL,21498,0.4123,0.4319,0.6678,9.5,25522,59172,40300
Kettering University,3,0.6159,NULL,27551,49303,0.2523,0.6078,0.5905,5.3,26761.5,83977,74900
Grace Bible College,3,0.7486,NULL,11682,20912,0.634,0.4878,0.8135,1.8,23374,49384,NULL
Cornerstone University,3,0.6807,NULL,15790,33912,0.4352,0.4571,0.7596,7.6,23469,55078,35600
Grand Valley State University,3,0.826,11713,NULL,21512,0.3632,0.695,0.642,5.1,26500,72885.5,39100
Great Lakes Christian College,3,NULL,NULL,17303,25506,0.7596,0.25,0.8251,13.5,NULL,44638,29100
Hope College,3,0.7253,NULL,15464,38593,0.204,0.7814,0.5704,3.5,27000,91493,43300
Kalamazoo College,3,0.6689,NULL,11500,48547,0.1856,0.7741,0.5149,1.3,27000,97614,49400
Lake Superior State University,3,0.9183,7445,NULL,19571,0.4152,0.42,0.5991,12.4,25869,48687,35700
Lawrence Technological University,3,0.4365,NULL,24356,39890,0.1847,0.4939,0.3302,8.5,27850,63620,53700
Madonna University,3,0.6125,NULL,9718,22629,0.3568,0.4294,0.583,7.3,25000,41119.5,36500
Marygrove College,3,0.9378,NULL,12157,25733,0.7044,0.2931,0.8721,6.7,35000,20826,26800
Rochester College,3,0.6567,NULL,17544,26399,0.3883,0.4301,0.6486,7.1,21500,43866,34500
University of Michigan-Ann Arbor,3,0.3326,7156,NULL,25760,0.157,0.8997,0.3665,2.1,22000,69630,57900
Michigan State University,3,0.6865,8734,NULL,23740,0.2387,0.7736,0.4845,5.7,25714,78152,49800
Michigan Technological University,3,0.7659,9907,NULL,24724,0.267,0.6453,0.5969,6,27000,76868.5,60100
University of Michigan-Dearborn,3,0.6284,6908,NULL,15831,0.4298,0.518,0.6704,8.1,25000,38952,47400
University of Michigan-Flint,3,0.7809,8446,NULL,16731,0.4522,0.3754,0.7483,8.9,28376.5,38562,40100
Northern Michigan University,3,0.7313,9507,NULL,18466,0.3848,0.4829,0.6408,12.1,22319,57707,34800
Northwood University-Michigan,3,0.6538,NULL,11349,32803,0.3353,0.5414,0.6951,9.6,23474.5,49456,44600
Oakland University,3,0.66,7514,NULL,19198,0.2034,0.4295,0.3689,6.2,25000,56986,42600
Olivet College,3,0.5148,NULL,16160,31515,0.457,0.4341,0.8011,12.1,27000,57515,34100
Kuyper College,3,0.6842,NULL,16013,26213,0.5949,0.4179,0.7595,10.6,25500,60731,29000
Sacred Heart Major Seminary,3,1,NULL,NULL,NULL,0.1288,0.5,0.0833,3.4,NULL,20359,NULL
Saginaw Valley State University,3,0.7865,11837,NULL,17876,0.4075,0.3894,0.6985,9.5,27000,51643,37800
Siena Heights University,3,0.6765,NULL,14985,31980,0.4343,0.431,0.6817,5.8,18750,48925,38100
Spring Arbor University,3,0.6505,NULL,13191,32709,0.449,0.5673,0.74,5.9,24850,55009.5,40400
Finlandia University,3,0.5883,NULL,16584,29377,0.6462,0.4625,0.8301,9.5,27500,41922.5,26600
Walsh College of Accountancy and Business Administration,3,NULL,NULL,NULL,NULL,0.4181,NULL,0.6065,3.1,16485,39217.5,54500
Wayne State University,3,0.7624,10815,NULL,20199,0.4804,0.3235,0.5944,12.5,21500,30304.5,41500
Western Michigan University,3,0.8285,14113,NULL,22483,0.3969,0.5491,0.68,7.7,27000,74325,42700
Augsburg College,3,0.6086,NULL,16624,42531,0.4338,0.6326,0.7115,6,27000,60818,44800
Bemidji State University,3,0.6678,9992,NULL,18166,0.3557,0.4758,0.594,8.5,21500,53717,37300
Bethany Lutheran College,3,0.7458,NULL,12390,32531,0.4064,0.4943,0.7575,5.7,25000,68546.5,34000
Bethel University,3,0.9485,NULL,17858,42692,0.27,0.7136,0.6746,3.6,23950,82520,44000
Carleton College,3,0.2095,NULL,10233,58275,0.1231,0.9214,0.4749,2.3,17500,91175.5,46100
Concordia College at Moorhead,3,0.7998,NULL,13840,39803,0.2426,0.7101,0.68,2,27000,84068,41200
Concordia University-Saint Paul,3,0.5239,NULL,16162,40267,0.3539,0.4627,0.6249,6.4,23000,57993.5,45300
Martin Luther College,3,0.9617,NULL,12628,20740,0.3518,0.7684,0.6873,2.8,20250,63952,40400
Gustavus Adolphus College,3,0.6322,NULL,15875,48422,0.2478,0.8228,0.6884,2.3,27000,93107,50100
Hamline University,3,0.6557,NULL,17556,43433,0.3852,0.6637,0.7432,4,25018.5,61451,46900
The Art Institutes International-Minnesota,3,NULL,NULL,23922,31098,0.5449,0.3513,0.8573,13.4,30609,46258,33000
Macalester College,3,0.3416,NULL,13329,55393,0.172,0.8742,0.4884,1.6,23501.5,85439.5,45700
Minnesota State University-Mankato,3,0.6555,10068,NULL,17578,0.2906,0.4904,0.59,4.7,23029,71852,42700
Metropolitan State University,3,1,11604,NULL,18170,0.4156,0.3387,0.5207,6.6,18750,34503,43600
University of Minnesota-Twin Cities,3,0.4442,10322,NULL,24278,0.2169,0.754,0.4516,3.6,21500,72908.5,47800
University of Minnesota-Crookston,3,0.6916,8381,NULL,21549,0.2388,0.4369,0.3976,8.1,20000,56026,39900
Minneapolis College of Art and Design,3,0.5895,NULL,21956,41935,0.3907,0.5959,0.8781,7.5,27000,77197,31400
Crossroads College,3,0.2143,NULL,13458,25235,0.6815,0.4,0.758,12.7,27000,54181,27900
University of Minnesota-Duluth,3,0.7822,9373,NULL,22796,0.2431,0.5883,0.5882,4.4,25000,83294.5,43300
University of Minnesota-Morris,3,0.5764,8574,NULL,22853,0.2932,0.6341,0.5037,5.6,20000,71476,38800
Minnesota School of Business-Richfield,3,NULL,NULL,21245,30125,0.5558,0.3333,0.7315,15.7,31061.5,33023,35700
Minnesota State University-Moorhead,3,0.8911,10814,NULL,18028,0.3314,0.4624,0.6301,6.9,23055.5,64384,37000
Brown College-Mendota Heights,3,NULL,NULL,16302,23700,0.6159,0.5,0.8478,19.5,30500,35619.5,33700
North Central University,3,0.9521,NULL,17807,28800,0.398,0.4549,0.7807,4.2,27000,60825,29600
University of Northwestern-St Paul,3,0.6915,NULL,19395,37803,0.2787,0.6844,0.5087,3.9,22430,65093,35300
Northwestern Health Sciences University,3,NULL,NULL,13363,23983,0.3009,0.6667,0.6903,2.8,5850,14880,42500
Oak Hills Christian College,3,0.5873,NULL,14725,25300,0.6154,0.5667,0.6713,5,23600,43608.5,25500
College of Saint Benedict,3,0.7554,NULL,17480,47734,0.2391,0.816,0.6478,1.1,26337,94964,47600
Saint Cloud State University,3,0.8691,10950,NULL,17892,0.3073,0.478,0.5095,7.2,23250,66431,40800
Saint Johns University,3,0.7516,NULL,14971,46397,0.1947,0.7946,0.6095,2.4,27000,99495,55900
Saint Mary's University of Minnesota,3,0.7485,NULL,15621,38470,0.3149,0.5516,0.6297,3.2,23000,75332,41600
St Olaf College,3,0.5919,NULL,12864,50550,0.1489,0.8708,0.5255,1.6,26531,98006,44800
Crown College,3,0.55,NULL,18516,34574,0.4881,0.5563,0.7022,6.1,27000,53587.5,31600
The College of Saint Scholastica,3,0.7265,NULL,16719,40685,0.3057,0.6838,0.689,4.7,23000,63879,47500
University of St Thomas,3,0.8617,NULL,24384,48421,0.2023,0.751,0.5738,4.2,26500,96397,54300
St Catherine University,3,0.6089,NULL,21178,43356,0.4147,0.5396,0.7682,5.2,28500,52083.5,45300
Southwest Minnesota State University,3,0.6546,11099,NULL,19109,0.1591,0.4283,0.2639,7.5,24200,56016,35600
Winona State University,3,0.6075,12560,NULL,20449,0.2685,0.5646,0.6431,4.4,24000,80304,41900
Alcorn State University,3,0.8291,13552,NULL,20330,0.7918,0.3463,0.8872,15.8,27940.5,21250,30600
Belhaven University,3,0.4842,NULL,20940,33375,0.5109,0.3983,0.7219,5.6,31250,36084,37900
Blue Mountain College,3,0.5573,NULL,7390,16926,0.5299,0.5088,0.5697,18,NULL,34940,31300
Delta State University,3,0.8941,12775,NULL,17749,0.4927,0.3543,0.5628,12.1,21300,25297.5,33800
