INSTNM,PREDDEG,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Arkansas State University-Main Campus,3,0.7551,8064,NULL,18809,0.4618,0.3698,0.5289,14.6,20959,27550,32700
Arkansas Tech University,3,0.8503,8423,NULL,16126,0.4559,0.4025,0.4734,17.4,17528,31932,35000
University of Central Arkansas,3,0.8997,8319,NULL,17899,0.3937,0.4203,0.492,10.1,21617,39480,37100
Central Baptist College,3,0.5407,NULL,9362,20386,0.4531,0.3874,0.5745,10.6,20501,44821,35700
Harding University,3,0.7628,NULL,20605,25475,0.2631,0.6219,0.5573,4.4,26250,76594,38600
Henderson State University,3,0.6221,7947,NULL,18033,0.5296,0.2854,0.5985,15.4,20191,32258,35200
Hendrix College,3,0.8039,NULL,18160,50172,0.1792,0.6959,0.4487,6.6,24924,80333,40500
John Brown University,3,0.6982,NULL,13881,33326,0.3184,0.6537,0.5333,4.8,22500,53841.5,46200
Ouachita Baptist University,3,0.7011,NULL,13481,31473,0.2702,0.6022,0.5033,6.6,23500,71658,37500
University of the Ozarks,3,0.6136,NULL,13337,34532,0.3906,0.4831,0.4826,15.5,24000,44123,31100
Philander Smith College,3,NULL,NULL,18903,24877,0.7282,0.4462,0.8784,16.4,31000,21262,26200
Williams Baptist College,3,0.6798,NULL,10177,22330,0.5265,0.3985,0.6307,12.8,19000,39189,32300
Southern Arkansas University Main Campus,3,0.6081,6941,NULL,17738,0.5152,0.2973,0.5054,18.1,17216.5,27662,35900
University of Arkansas-Fort Smith,3,0.5736,6471,NULL,14335,0.5053,0.2291,0.4018,25.1,17432,25892,29900
Academy of Art University,3,NULL,NULL,28554,34512,0.4242,0.3188,0.5957,15.5,34000,37597,36100
Art Center College of Design,3,0.8167,NULL,40645,56400,0.3687,0.6436,0.5106,7.2,36187,28815,51700
Azusa Pacific University,3,0.7985,NULL,24083,44021,0.2858,0.6486,0.5697,4.1,25000,72335.5,49000
Bethesda University of California,3,0.8321,NULL,6914,11741,0.75,0.7826,0.3906,6.6,NULL,21813.5,NULL
Biola University,3,0.7286,NULL,26084,44573,0.3103,0.6819,0.7762,2.2,23969,71594,40700
Brooks Institute,3,0.98,NULL,27414,32699,0.4281,0.3654,0.6944,12.6,31000,51937.5,29100
California Institute of Integral Studies,3,NULL,NULL,NULL,NULL,0.5699,NULL,0.828,5.4,18750,25628,NULL
California Baptist University,3,0.788,NULL,21188,39026,0.4777,0.5808,0.7734,6.7,27686.5,63947,41800
California College of the Arts,3,0.8157,NULL,25114,53837,0.3241,0.6183,0.5304,6.7,27000,37618,35700
California Institute of Technology,3,0.1055,NULL,8918,56382,0.1063,0.9307,0.2508,0,18348.5,53201,74000
California Lutheran University,3,0.4802,NULL,21984,48630,0.2578,0.7005,0.556,3.8,23000,76461,52900
California Polytechnic State University-San Luis Obispo,3,0.3123,10654,NULL,23867,0.1975,0.6972,0.3482,3.1,19500,72114,60900
Alliant International University,3,0.4922,NULL,19768,28901,0.3228,NULL,0.381,2.7,2000,18711,51800
California State University-Bakersfield,3,0.6626,6601,NULL,18061,0.5843,0.3946,0.4158,9.6,16174.5,28069.5,48100
California State University-Stanislaus,3,0.7215,5128,NULL,17161,0.5774,0.5198,0.4286,4.9,16500,31658.5,44900
California State University-San Bernardino,3,0.5831,5231,NULL,17030,0.5799,0.4112,0.4698,9.7,18482,28986.5,45500
California State Polytechnic University-Pomona,3,0.5218,8401,NULL,19402,0.4404,0.5237,0.3883,3.8,18001,30962,52000
California State University-Chico,3,0.7161,10613,NULL,22926,0.3893,0.5605,0.452,7.6,16500,37864,45100
California State University-Dominguez Hills,3,0.5747,1946,NULL,12957,0.5862,0.2935,0.4291,11.2,17201.5,25199.5,42800
