INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Troy University-eTROY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.2,26000,27401,36600
Troy University-Global Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.2,26000,NULL,NULL
Tuskegee University,0.3511,NULL,27654,32853,0.6453,0.4384,0.7374,13,33250,39069,37100
United States Sports Academy,NULL,NULL,NULL,NULL,0.4701,NULL,0.6068,4.2,30095.5,31218,NULL
Bevill State Community College,NULL,8138,NULL,13443,0.5844,NULL,0,0,NULL,15937,25900
University of Alaska Anchorage,NULL,6463,NULL,13180,0.2473,0.2547,0.286,12.4,20675,36717,42000
Alaska Bible College,NULL,NULL,9592,13380,0.2182,NULL,0.2,0,NULL,NULL,NULL
University of Alaska Fairbanks,NULL,7662,NULL,15035,0.2349,0.309,0.2676,11.6,20000,35138.5,38200
University of Alaska Southeast,NULL,8293,NULL,16409,0.1834,0.1389,0.209,11.8,19437.5,33802.5,39500
Alaska Pacific University,0.3745,NULL,28953,42925,0.2791,0.3902,0.4587,7.9,25125,48081.5,47400
AVTEC-Alaska's Institute of Technology,0.4888,NULL,NULL,NULL,0.1163,NULL,0.1447,14.4,5583,17052,30100
Charter College-Anchorage,NULL,NULL,17687,21163,0.6598,0.3534,0.4152,16.2,13000,35504,42000
Prince William Sound Community College,NULL,7311,NULL,12434,0.2092,NULL,0.2015,12.4,20675,36717,42000
Alaska Career College,NULL,NULL,14170,NULL,0.6181,NULL,0.7894,22.5,9500,20949.5,30900
Everest College-Phoenix,NULL,NULL,19988,25089,0.8264,0.3175,0.7408,19.6,9500,21163,28300
Collins College,NULL,NULL,NULL,NULL,0.7475,0.3773,0.9203,25.6,42103,31163,25200
Empire Beauty School-Paradise Valley,NULL,NULL,10723,NULL,0.6598,NULL,0.6598,16.5,9522,23733,19300
Empire Beauty School-Tucson,NULL,NULL,13145,NULL,0.7843,NULL,0.7386,17.2,9046.5,21213.5,16400
Thunderbird School of Global Management,NULL,NULL,NULL,NULL,0,NULL,0,1.2,NULL,30648,NULL
