INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Central Louisiana Technical Community College,NULL,6908,NULL,12082,0.367,NULL,0,24.5,NULL,12526.5,27000
American School of Business,NULL,NULL,13587,NULL,0.8614,NULL,0.6634,14.2,9500,13246,20600
Ayers Career College,NULL,NULL,20926,NULL,0.9005,NULL,0.9403,10.3,9500,14168,24900
Baton Rouge General Medical Center-School of Nursing,NULL,NULL,NULL,NULL,0.5357,NULL,0.8929,4.2,20862,35146,NULL
Baton Rouge General Medical Center-Radiologic Technology,NULL,NULL,NULL,NULL,0.3333,NULL,0.8,4.2,20862,35146,NULL
Baton Rouge School of Computers,NULL,NULL,NULL,NULL,0.4938,NULL,0.4938,35.2,NULL,19609.5,26900
Capital Area Technical College,NULL,7248,NULL,11931,0.1423,NULL,0,24.5,NULL,12526.5,27000
Bossier Parish Community College,NULL,7617,NULL,12889,0.7067,NULL,0.6244,24.7,14435,21859,29200
Cameron College,NULL,NULL,9404,NULL,0.8774,NULL,0.1981,17.2,3881,13818,25200
Centenary College of Louisiana,0.6597,NULL,14322,40578,0.3539,0.59,0.5358,11,25000,72994,39300
Cloyd's Beauty School 1 Inc,NULL,NULL,2350,NULL,0.8462,NULL,0,0,NULL,11759,NULL
Crescent City Bartending School,NULL,NULL,13835,NULL,0.1827,NULL,0.334,39.6,6166.5,15442,21700
D'Jay's School of Beauty Arts and Sciences,NULL,NULL,14119,NULL,0.4576,NULL,0.4915,22.2,7027,9696,15000
Delgado Community College,NULL,6467,NULL,12335,0.7271,NULL,0.6351,17.7,16932,18394.5,28200
Delta School of Business and Technology,NULL,NULL,17743,23274,0.9617,NULL,0.9489,15.8,17766,9115,17200
Demmons School of Beauty,NULL,NULL,8308,NULL,0.6667,NULL,0,0,NULL,8274,NULL
Denham Springs Beauty School,NULL,NULL,8065,NULL,0.4252,NULL,0.4252,27.2,8166.5,9115.5,NULL
Dillard University,0.3544,NULL,15600,25343,0.7682,0.4566,0.8707,11.4,32925,31979,34000
Nunez Community College,NULL,7805,NULL,12684,0.6384,NULL,0.0403,19.1,5500,15093,24500
Grambling State University,0.4363,13881,NULL,20881,0.7346,0.3167,0.8446,16.2,38172.5,23973,28300
Guy's Shreveport Academy of Cosmetology Inc,NULL,NULL,12291,NULL,0.8553,NULL,0.8816,12.7,9500,16380.5,15400
ITI Technical College,NULL,NULL,17914,21899,0.4914,NULL,0.6638,15.8,15844.5,24344,41700
John Jay Beauty College,NULL,NULL,3988,NULL,0.5714,NULL,0,0,NULL,13581.5,18800
John Jay Beauty College,NULL,NULL,8678,NULL,0.6234,NULL,0,0,NULL,12783,NULL
Louisiana State University Health Sciences Center-New Orleans,NULL,NULL,NULL,NULL,0.2239,NULL,0.5177,0.9,16229,29650,61100
Louisiana State University-Alexandria,0.6074,11001,NULL,14276,0.4093,0.138,0.371,12.2,17750,25217,30500
Louisiana State University and Agricultural & Mechanical College,0.7623,6759,NULL,20422,0.1978,0.6914,0.3532,4.3,19500,52648,45900
Louisiana State University-Eunice,NULL,5985,NULL,11914,0.4263,NULL,0.5977,16.3,11460,24292,31500
Louisiana State University-Shreveport,0.8349,6278,NULL,15066,0.2997,0.3255,0.3237,10.5,20322,28984,36700
Acadiana Technical College-Lafayette Campus,NULL,7149,NULL,12832,0.4377,NULL,0,24.5,NULL,12526.5,27000
Aveda Institute-Baton Rouge,NULL,NULL,12287,NULL,0.3683,NULL,0.5609,13.2,12500,42571,17300
Aveda Institute-Lafayette,NULL,NULL,13996,NULL,0.5204,NULL,0.6335,8.7,9416,26313.5,18900
Louisiana Academy of Beauty,NULL,NULL,8217,NULL,0.4179,NULL,0.2388,26.3,4500,8307,11800
Louisiana College,0.7423,NULL,12652,22940,0.454,0.4251,0.589,10.9,22707,49554.5,39600
Opelousas School of Cosmetology Inc,NULL,NULL,9838,NULL,0.6939,NULL,0.4286,21.7,NULL,4883,NULL
Louisiana Tech University,0.6744,7225,NULL,16983,0.2218,0.4934,0.304,7.5,20984.5,43568,41100
Loyola University New Orleans,0.8707,NULL,17004,46676,0.2972,0.5486,0.5825,5.3,26070,72625,41300
McNeese State University,0.6151,6711,NULL,14823,0.3639,0.3817,0.4129,12.9,21750,33535,36800
University of New Orleans,0.5036,7512,NULL,16212,0.3202,0.3214,0.3476,9,17821,27630.5,38400
Nicholls State University,0.8694,7931,NULL,16071,0.3935,0.4126,0.4958,8.6,21888.5,32069.5,35000
University of Louisiana at Monroe,0.7724,6418,NULL,14925,0.3727,0.4017,0.4092,10.7,21207,28606,35700
Northwest Louisiana Technical College,NULL,7619,NULL,12524,0.5106,NULL,0,24.5,NULL,12526.5,27000
Notre Dame Seminary Graduate School of Theology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Northwestern State University of Louisiana,0.84,7019,NULL,16605,0.4023,0.3739,0.4878,12.6,23500,27444.5,35000
Our Lady of Holy Cross College,0.4847,NULL,10794,17887,0.4573,0.2805,0.6594,5.5,30158.5,29062.5,39100
Our Lady of the Lake College,0.6615,NULL,13525,21335,0.3701,0.3594,0.6578,7.1,23507,30253,44200
Pat Goins Benton Road Beauty School,NULL,NULL,8421,NULL,0.7681,NULL,0.7826,9.3,2908,10422,NULL
Pat Goins Monroe Beauty School,NULL,NULL,9331,NULL,1,NULL,0,12.5,NULL,12480,NULL
Pat Goins Ruston Beauty School,NULL,NULL,5463,NULL,1,NULL,0.9545,6.2,6750,12988,NULL
Pineville Beauty School,NULL,NULL,9655,NULL,0.549,NULL,0,0,NULL,14149,NULL
Aveda Institute-Covington,NULL,NULL,14138,NULL,0.5034,NULL,0.8128,11.4,9833,32584,17900
Saint Joseph Seminary College,NULL,NULL,25898,30965,0.2308,0.75,0.0192,0,NULL,15651,NULL
Vanguard College of Cosmetology-Slidell,NULL,NULL,12227,NULL,0.5235,NULL,0.6941,16.3,16500,16477,NULL
South Louisiana Beauty College,NULL,NULL,12525,NULL,0.6393,NULL,0.377,35.4,5500,14031,14200
L E Fletcher Technical Community College,NULL,7871,NULL,13510,0.3961,NULL,0,0,NULL,13747,28700
Remington College-Lafayette Campus,0.9192,NULL,21889,26145,0.7139,NULL,0.5095,9.5,9500,12296.5,22500
SOWELA Technical Community College,NULL,7506,NULL,12978,0.4243,NULL,0,24.5,NULL,16954,27300
Stevensons Academy of Hair Design,NULL,NULL,13900,NULL,0.5903,NULL,0,0,NULL,10877,17200
Southeastern Louisiana University,0.448,7694,NULL,15729,0.3334,0.3582,0.3998,8.7,21465,32109.5,35400
Southern University and A & M College,0.359,14195,NULL,17928,0.6277,0.3183,0.7496,9.9,32075,23636,31600
Southern University at New Orleans,0.4888,8474,NULL,10889,0.6273,0.1119,0.6803,15.1,27269,16097,29000
Southern University at Shreveport,NULL,9229,NULL,13623,0.6136,NULL,0.6404,19.5,14699,15226,22500
University of Louisiana at Lafayette,0.593,6883,NULL,15342,0.3405,0.4482,0.3735,9.3,20898,35091,37900
Northshore Technical Community College,NULL,7588,NULL,12007,0.3571,NULL,0,24.5,NULL,12526.5,27000
Tulane University of Louisiana,0.2643,NULL,21579,58904,0.1617,0.7602,0.3702,5.5,27000,45863.5,52400
Xavier University of Louisiana,0.5443,NULL,19592,27550,0.5739,0.4804,0.7093,11.6,27000,38660.5,46500
South Central Louisiana Technical College-Young Memorial Campus,NULL,8528,NULL,12645,0.2032,NULL,0,24.5,NULL,12526.5,27000
Kaplan University-Maine Campus,NULL,NULL,15760,21396,0.7244,0.1809,0.7276,20.4,30500,21591,34400
College of the Atlantic,0.7367,NULL,15129,48639,0.3006,0.6905,0.5421,5.4,19000,56456,27000
Bates College,0.2417,NULL,11885,59285,0.1112,0.9299,0.255,1.4,17058,106531,53500
Beal College,NULL,NULL,13723,NULL,0.7604,NULL,0.7409,22.4,13750,22276,25300
Bowdoin College,0.1495,NULL,6731,58200,0.1376,0.9326,0.1963,0.6,19500,89780.5,54800
Central Maine Medical Center College of Nursing and Health Professions,0.4545,NULL,12126,15526,0.4516,NULL,0.8203,7.3,12625,44827,50500
Central Maine Community College,NULL,7652,NULL,12756,0.5126,NULL,0.4481,13.3,12000,32183,33300
Colby College,0.2604,NULL,6443,57300,0.1079,0.9251,0.205,2.5,19461,104003,53000
Eastern Maine Community College,0.6639,7405,NULL,13030,0.5364,NULL,0.5181,15.2,12000,34478,30900
Husson University,0.7989,NULL,14188,25019,0.2796,0.4654,0.5926,9.7,26000,46670,37100
Kennebec Valley Community College,NULL,8658,NULL,14210,0.5194,NULL,0.3656,21.4,12000,25230,29100
The Landing School,NULL,NULL,34608,36025,0.2206,NULL,0.4853,4,9500,37047,NULL
University of Maine at Augusta,NULL,9258,NULL,13927,0.5671,0.137,0.6228,22.7,21335.5,23089,26400
University of Maine at Farmington,0.837,11697,NULL,20415,0.4601,0.5511,0.7717,7.5,27000,58522,33200
University of Maine at Fort Kent,0.6293,10830,NULL,17314,0.3216,0.4273,0.4269,14.6,19973,35325,31200
University of Maine at Machias,0.854,7768,NULL,17380,0.4086,0.3091,0.4357,19.8,21250,28802,27000
University of Maine,0.8106,13534,NULL,22461,0.3718,0.5556,0.6405,6.3,27000,60423,38700
Maine Maritime Academy,0.6536,16759,NULL,23673,0.288,0.752,0.7978,5.1,27000,68682,74700
University of Maine at Presque Isle,NULL,8718,NULL,16492,0.3636,0.3077,0.4429,17.7,22012.5,33804,27200
University of New England,0.8584,NULL,25499,47931,0.2279,0.5966,0.6868,4.5,27000,74608,44800
Northern Maine Community College,0.681,10631,NULL,15685,0.5298,NULL,0.3933,15.2,12000,27943,29800
Empire Beauty School-Maine,NULL,NULL,12329,NULL,0.7176,NULL,0.6692,18.8,9083,21041,15500
Empire Beauty School-Caribou,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.8,9083,21041,15500
Empire Beauty School-Bangor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.8,9083,21041,15500
Empire Beauty School-Waterville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.8,9083,21041,15500
Maine College of Art,0.9625,NULL,27356,43313,0.4309,0.45,0.8211,4.6,27000,62658,23700
Saint Joseph's College of Maine,0.7778,NULL,24230,43119,0.2435,0.5543,0.5758,5.7,27000,77122,37900
Spa Tech Institute-Westbrook,NULL,NULL,10382,NULL,0.3584,NULL,0.5731,21.2,6333,32887,22300
Southern Maine Community College,NULL,10529,NULL,15054,0.4876,NULL,0.4857,20.4,12500,32053,37300
University of Southern Maine,0.828,14707,NULL,22290,0.3636,0.3356,0.5807,6.8,24250,49417,36500
Thomas College,0.7244,NULL,16057,33792,0.3331,0.4298,0.5895,9.3,23000,55433,36600
Unity College,0.8882,NULL,15988,34137,0.4413,0.5141,0.8585,3.9,27000,56517,36100
Washington County Community College,NULL,5930,NULL,11173,0.6966,NULL,0.3839,29.5,6250,23923,26100
Aaron's Academy of Beauty,NULL,NULL,9320,NULL,0.8193,NULL,0.6867,43.9,6710,13828,NULL
Aesthetics Institute of Cosmetology,NULL,NULL,16407,NULL,0.5978,NULL,0.3478,16.1,6750,21617,NULL
Allegany College of Maryland,NULL,8449,NULL,13997,0.4564,NULL,0.4083,18.2,14478,30605.5,30900
Anne Arundel Community College,NULL,12613,NULL,16950,0.2625,NULL,0.1633,15.9,10625,30717.5,38800
TESST College of Technology-Towson,NULL,NULL,21346,NULL,0.6145,NULL,0.5198,17.8,9500,15330.5,41500
Award Beauty School,NULL,NULL,13997,NULL,0.8,NULL,0.7138,14.3,10500,19389,NULL
Baltimore Studio of Hair Design,NULL,NULL,11038,NULL,1,NULL,0.9692,22.3,6995,8909.5,15700
Baltimore City Community College,NULL,7283,NULL,12348,0.5362,NULL,0,16.6,NULL,13388,29000
University of Baltimore,0.7295,14576,NULL,24835,0.4264,0.3759,0.5768,8,20500,31331,58000
Bowie State University,0.5176,9321,NULL,18581,0.4873,0.3524,0.6808,16.1,23320,45228,47000
Capitol College,0.5903,NULL,20898,30826,0.356,0.4286,0.5351,8.4,23000,53209,58900
Cecil College,NULL,6813,NULL,9816,0.3124,NULL,0.1333,18.1,10500,27428.5,31400
College of Southern Maryland,NULL,7070,NULL,12644,0.2377,NULL,0.1144,12.7,9500,25927,37100
Chesapeake College,NULL,8286,NULL,13112,0.3812,NULL,0,0,NULL,20469,27500
Washington Adventist University,0.3271,NULL,15610,27990,0.5393,0.3651,0.7881,10.1,31250,42673,46800
Coppin State University,0.355,10266,NULL,16147,0.5964,0.1387,0.6943,22.5,19031,29366,37600
Delmarva Beauty Academy,NULL,NULL,16662,NULL,0.4454,NULL,0.6891,21.8,13200,23357.5,18700
North American Trade Schools,NULL,NULL,17303,NULL,0.9655,NULL,0.9698,28,9866,15268,31400
Frederick Community College,NULL,3858,NULL,9205,0.2224,NULL,0.0912,12.9,8500,30227,32800
Frostburg State University,0.5945,14472,NULL,19454,0.35,0.4655,0.6128,10.4,22617.5,68365.5,43600
Garrett College,NULL,5885,NULL,11372,0.5865,NULL,0.3975,21,12290,28646,27300
Goucher College,0.7173,NULL,15758,50840,0.2399,0.6792,0.5458,3.5,25000,88524,45500
Kaplan University-Hagerstown Campus,NULL,NULL,25358,26958,0.7431,0.3296,0.7207,20.4,30500,16879,34400
Hagerstown Community College,NULL,5853,NULL,9809,0.3786,NULL,0.3307,12.4,11000,26118.5,31800
Harford Community College,NULL,3398,NULL,7963,0.2834,NULL,0.0693,7.9,8000,23416,34100
Hood College,0.8102,NULL,17792,45230,0.3424,0.6644,0.7329,4.9,27000,72812,43100
Howard Community College,NULL,7596,NULL,12617,0.2488,NULL,0.1211,10.4,10702,27806,37500
The Colorlab Academy of Hair,NULL,NULL,13363,NULL,0.6044,NULL,0.6484,29.4,9833,25183.5,NULL
Johns Hopkins University,0.1813,NULL,10235,58980,0.1307,0.9254,0.3918,1.7,18500,57761.5,69200
L'Academie de Cuisine,0.8421,NULL,21965,NULL,0.1132,NULL,0.8868,6.3,20000,39198,39000
Lincoln College of Technology-Columbia,NULL,NULL,22974,NULL,0.5838,NULL,0.6326,26,12017,33239.5,36600
Loyola University Maryland,0.58,NULL,23657,56736,0.1414,0.8437,0.5407,2.9,27000,112164,62100
Maryland Beauty Academy of Reisterstown,NULL,NULL,11885,NULL,0.9318,NULL,0.9545,18.9,6500,18632.5,NULL
University of Maryland-University College,NULL,9358,NULL,13222,0.2391,0.0278,0.3028,9,21000,34322,50700
University of Maryland-Baltimore,NULL,NULL,NULL,NULL,0.2005,NULL,0.5014,1.6,14500,20052,80400
University of Maryland-Baltimore County,0.6315,13770,NULL,22024,0.2695,0.6458,0.4251,5.6,21500,59891,53500
University of Maryland-College Park,0.4699,9420,NULL,22933,0.1907,0.8406,0.3581,2.8,19500,75194,59100
Maryland Institute College of Art,0.5803,NULL,29302,52649,0.2429,0.7273,0.6126,4.4,27000,89961,31400
University of Maryland Eastern Shore,0.5502,11681,NULL,20587,0.5506,0.3246,0.6948,17.1,27500,40227,37800
Fortis Institute-Towson,NULL,NULL,17399,NULL,0.671,NULL,0.6904,12.1,12868,17990,27500
Montgomery Beauty School,NULL,NULL,12473,NULL,0.7137,NULL,0.5513,11.1,9155,12761,17200
Montgomery College,NULL,7669,NULL,12291,0.3078,NULL,0.1849,11.6,9500,24087,40500
Morgan State University,0.5757,12325,NULL,20108,0.6152,0.3375,0.8105,23,31000,40263.5,39700
Mount St Mary's University,0.6741,NULL,21338,45896,0.2269,0.6563,0.6374,4.6,27000,98879,50300
Ner Israel Rabbinical College,0.8154,NULL,5650,20300,0.1977,0.3061,0,0,NULL,19751,NULL
Hair Academy Inc-New Carrollton,NULL,NULL,14285,NULL,0.8181,NULL,0.6869,16.6,10673.5,9466,16900
Notre Dame of Maryland University,0.4964,NULL,18522,41871,0.3024,0.5283,0.5355,5.2,27500,56669,48800
Prince George's Community College,NULL,5079,NULL,9936,0.3615,NULL,0.2206,13.7,7523,26992,40900
TESST College of Technology-Baltimore,NULL,NULL,22144,NULL,0.4137,NULL,0.2885,23.4,9495,10858,35700
Robert Paul Academy of Cosmetology Arts & Sciences,NULL,NULL,12301,NULL,0.3056,NULL,0.4375,3.9,7500,42485,23000
Maryland Beauty Academy of Essex,NULL,NULL,12056,NULL,0.7813,NULL,0.9141,17.2,7500,18463.5,NULL
Salisbury University,0.5494,12002,NULL,20916,0.2209,0.6681,0.5213,6.5,20443,87919.5,47300
St Mary's College of Maryland,0.7204,9289,NULL,29174,0.152,0.7931,0.4135,1.4,21671.5,103581.5,48200
Sojourner-Douglass College,NULL,NULL,22048,26170,0.7078,0.1967,0.831,14.2,35500,24563,34100
St John's College,0.8099,NULL,23302,56867,0.2383,0.6338,0.6281,0,25500,87672.5,34300
TESST College of Technology-Beltsville,NULL,NULL,22428,NULL,0.3708,NULL,0.3244,16.8,9500,24409,41600
Towson University,0.6034,10120,NULL,21596,0.2498,0.655,0.5047,5.2,19000,71279.5,49500
Maryland University of Integrative Health,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.8,NULL,NULL,NULL
International Beauty School,NULL,NULL,16135,NULL,0.9932,NULL,1,23,16500,16566,18300
International Beauty School,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,16500,NULL,18300
Stevenson University,0.5959,NULL,17872,38785,0.303,0.5613,0.6099,8.4,25000,77520,51400
Washington College,0.6655,NULL,18056,52243,0.1488,0.6821,0.6872,3.5,27000,108663.5,48300
McDaniel College,0.7587,NULL,14291,45866,0.3073,0.7175,0.6629,3.2,27000,89429,44600
Wor-Wic Community College,NULL,8471,NULL,13127,0.5074,NULL,0.1032,18.8,7650,20295,27200
Hult International Business School,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
New England College of Business and Finance,NULL,NULL,11287,14275,0.2008,1,0.3215,12,20704,NULL,NULL
American International College,0.6779,NULL,18348,40803,0.5027,0.4487,0.8331,6,27000,49259,42400
Amherst College,0.1428,NULL,3739,59060,0.1998,0.9578,0.1321,4.5,11185.5,85922,56800
Andover Newton Theological School,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.2,NULL,NULL,NULL
Anna Maria College,0.7756,NULL,21556,42770,0.3655,0.469,0.7888,10,26000,67437,42400
Assabet Valley Regional Technical School,0.5098,15976,NULL,NULL,0.7111,NULL,0.7333,18.7,9500,28505.5,NULL
Assumption College,0.7422,NULL,18615,46763,0.2297,0.7273,0.7146,3.5,27000,103026,52800
Babson College,0.2821,NULL,18935,58450,0.1613,0.9073,0.3737,1,27000,80987,85500
Bancroft School of Massage Therapy,NULL,NULL,NULL,NULL,0.5541,NULL,0.5811,0,7600,36717,32600
Boston Baptist College,0.8065,NULL,21040,31101,0.5,0.3182,0.75,9,26826,62144,NULL
Bay Path College,0.576,NULL,18157,40447,0.5289,0.555,0.8832,7.5,21538.5,45278,41900
Bay State College,0.5845,NULL,24580,32975,0.5143,0.2716,0.8448,12.9,25250,31938.5,32400
Bay State School of Technology,NULL,NULL,24175,NULL,0.5516,NULL,0.4484,36.2,8506,28166,39300
Becker College,0.6255,NULL,25171,44041,0.3888,0.3069,0.8154,14.9,27166,54112,35800
Bentley University,0.4379,NULL,20544,54806,0.1554,0.8727,0.5074,1,27000,93494,74900
Berklee College of Music,0.3617,NULL,40424,56335,0.1889,0.4963,0.418,13.6,27000,79421,30300
Berkshire Community College,NULL,8237,NULL,13345,0.5817,NULL,0.3919,17.3,12345,27620,28700
Empire Beauty School-Boston,NULL,NULL,13476,NULL,0.5971,NULL,0.5372,17.4,9833,15217.5,19400
Boston Architectural College,NULL,NULL,31544,36082,0.4418,0.0658,0.789,11.9,45202,46950.5,41600
Boston Graduate School of Psychoanalysis Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,NULL
Boston College,0.3222,NULL,16196,58639,0.1371,0.913,0.4131,1.4,19000,81102,67000
The Boston Conservatory,0.3645,NULL,35120,59631,0.1958,0.6716,0.5551,5.8,27000,84542,27500
Boston University,0.4561,NULL,23573,59036,0.1487,0.8448,0.4235,2,27000,91507,60600
Brandeis University,0.3704,NULL,14265,58850,0.1781,0.8959,0.5092,2.4,27000,97995,58800
Bridgewater State University,0.786,14680,NULL,19303,0.2372,0.5751,0.5298,7.9,24998,72560,41500
Bristol Community College,NULL,4805,NULL,9237,0.426,NULL,0.2139,16.6,6500,26885,27900
Signature Healthcare Brockton Hospital School of Nursing,0.3953,NULL,13576,NULL,0.4335,NULL,0.8353,2.6,20000,46663,60900
Bunker Hill Community College,NULL,7082,NULL,12219,0.5064,NULL,0.0794,14.1,8997,14766,33000
Cambridge College,NULL,NULL,23361,26815,0.3862,0.0245,0.545,8.5,24500,29506.5,36500
Cape Cod Community College,NULL,8076,NULL,13268,0.3599,NULL,0.1195,13.5,9336,22558,26900
Catherine Hinds Institute of Esthetics,NULL,NULL,13755,NULL,0.463,NULL,0.6848,2.2,6332.5,37635,28700
Laboure College,0.873,NULL,28130,33880,0.3728,0.1429,0.8294,6.6,28150,36915,56700
Clark University,0.6154,NULL,18293,47248,0.2071,0.8094,0.5548,3.6,26000,75720.5,44100
Conway School of Landscape Design,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Curry College,0.6692,NULL,26219,47519,0.2555,0.4502,0.6274,8.6,26000,74416,43600
Lincoln Technical Institute-Somerville,NULL,NULL,15115,NULL,0.7062,NULL,0.7611,25.4,9504,18512,31200
Dean College,0.6835,NULL,21785,46673,0.292,0.4315,0.649,19.3,17500,74995,32700
Diman Regional Technical Institute,0.3433,13641,NULL,NULL,0.5833,NULL,0.6667,0,9500,24416,NULL
National Aviation Academy of New England,NULL,NULL,15382,NULL,0.6108,NULL,0.7759,14.2,20000,33415,50900
Eastern Nazarene College,0.5579,NULL,17454,36567,0.4928,0.5,0.4475,6.2,27000,59931,44400
Emerson College,0.4798,NULL,28795,51158,0.1702,0.8147,0.5678,2.5,23312,94808,44800
Emmanuel College,0.6049,NULL,25423,49487,0.2337,0.5808,0.6753,5.6,27000,81534,42400
Endicott College,0.7165,NULL,24687,44177,0.1575,0.7129,0.6392,2.8,27000,109499.5,42800
Episcopal Divinity School,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.5,NULL,NULL,NULL
Rob Roy Academy-Fall River,NULL,NULL,12239,NULL,0.5652,NULL,0.625,24,8582,13870,15800
Fisher College,0.6273,NULL,29372,41383,0.5754,0.3891,0.6564,15.3,19545,35693,28200
Fitchburg State University,0.7211,9013,NULL,17686,0.3416,0.5029,0.6887,7.8,21750,70609.5,42100
Framingham State University,0.5167,12515,NULL,21402,0.2829,0.5055,0.6681,6,23853,72222.5,43200
Benjamin Franklin Institute of Technology,NULL,NULL,15218,25164,0.6456,0.4793,0.77,26,12000,32795.5,39800
Gordon College,0.4133,NULL,21034,43140,0.2213,0.707,0.7229,1,27000,88787,41600
Gordon-Conwell Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.9,NULL,8308.5,NULL
Greenfield Community College,NULL,9751,NULL,14787,0.5113,NULL,0.2885,22,8000,20616.5,27100
Hallmark Institute of Photography,NULL,NULL,70035,NULL,0.4466,NULL,0.767,3.8,5500,51801,27000
Hampshire College,0.6369,NULL,24301,57765,0.217,0.6607,0.5948,3.2,20000,88959,30800
Harvard University,0.0584,NULL,3386,57950,0.1016,0.9747,0.029,1.9,6000,33323.5,87200
Hebrew College,NULL,NULL,NULL,NULL,0.2857,NULL,0.2857,4.8,NULL,NULL,NULL
Hellenic College-Holy Cross Greek Orthodox School of Theology,NULL,NULL,26722,38080,0.2727,0.4118,0.3636,5.4,16267.5,39114,NULL
Henris School of Hair Design,NULL,NULL,9199,NULL,0.6667,NULL,0.8841,47.3,5500,38993,20200
College of the Holy Cross,0.3297,NULL,15607,56706,0.1627,0.9136,0.5249,1.9,27000,108458,63700
Holyoke Community College,NULL,6772,NULL,11963,0.5165,NULL,0.2862,17.3,8437.5,24186,29100
Sanford-Brown College-Boston,NULL,NULL,NULL,NULL,0.7602,NULL,0.8821,NULL,21750,21617,30800
Kay Harvey Academy of Hair Design,NULL,NULL,12034,NULL,0.9512,NULL,0.8902,13.6,5900,15881,18600
La Baron Hairdressing Academy-Brockton,NULL,NULL,16158,NULL,0.7381,NULL,0.8929,9.7,9477,21377,17600
La Baron Hairdressing Academy-New Bedford,NULL,NULL,11140,NULL,0.9804,NULL,1,21.1,9500,10486,19600
Lasell College,0.7614,NULL,20741,43854,0.319,0.5294,0.8689,6.8,26000,77869,40900
Lawrence Memorial Hospital School of Nursing,NULL,NULL,NULL,NULL,0.3323,NULL,0.953,0,20000,44814,66100
Lesley University,0.6749,NULL,28746,47788,0.2621,0.4602,0.6356,4.4,25000,55849,36700
Lowell Academy Hairstyling Institute,NULL,NULL,14100,NULL,0.6092,NULL,0.5632,10,8181,28744,NULL
University of Massachusetts-Lowell,0.6397,10258,NULL,22861,0.2989,0.5426,0.597,7.3,25000,61757,48900
Mansfield Beauty Schools-Springfield,NULL,NULL,15506,NULL,0.6939,NULL,0.551,27.5,5605,0,NULL
Mansfield Beauty Schools-Quincy,NULL,NULL,13678,NULL,0.42,NULL,0.41,4.7,5580,12384.5,23300
Marian Court College,NULL,NULL,20738,24949,0.454,0.5091,0.5747,10.5,12000,32979,34600
University of Massachusetts-Amherst,0.6294,12437,NULL,25665,0.2513,0.7266,0.6043,5.6,24250,75270.5,49600
University of Massachusetts-Boston,0.7141,8084,NULL,19763,0.3831,0.4358,0.5642,8.6,NULL,33287,45800
Massachusetts Bay Community College,NULL,11020,NULL,16109,0.3027,NULL,0.2607,12.5,8161,32033,37300
MCPHS University,0.8921,NULL,29807,43966,0.3009,0.7053,0.783,1.8,25000,61624,116400
Massachusetts College of Art and Design,0.6982,15901,NULL,25384,0.2565,0.7382,0.5535,9.3,26000,60374,34000
Massachusetts Institute of Technology,0.0815,NULL,6733,57010,0.1825,0.9307,0.1992,1.7,13645,79076,91600
Massachusetts Maritime Academy,0.7726,7519,NULL,22420,0.186,0.6667,0.7462,6.3,27000,86279,79500
University of Massachusetts Medical School Worcester,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6,12000,13148,184900
Massachusetts School of Professional Psychology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Massachusetts School of Barbering,NULL,NULL,11438,NULL,0.5733,NULL,0.5133,6,8731.5,1361,NULL
Massasoit Community College,NULL,7919,NULL,13154,0.4069,NULL,0.1607,19.3,8231,29638.5,30600
Merrimack College,0.786,NULL,23675,46532,0.223,0.5995,0.735,4.5,27000,108518,55400
MGH Institute of Health Professions,NULL,NULL,NULL,NULL,0,NULL,0.7953,0.3,25000,51647,NULL
Middlesex Community College,NULL,2955,NULL,8397,0.3452,NULL,0.16,16.3,6270.5,29731,33400
Montserrat College of Art,NULL,NULL,20004,37866,0.3788,0.5974,0.7601,10.3,27000,75050,25100
Mount Holyoke College,0.4681,NULL,14175,55496,0.203,0.8187,0.4533,5.6,21000,73414.5,44100
Mount Ida College,0.6065,NULL,25132,41565,0.3925,0.3952,0.7741,7.9,27000,61177,34700
Mount Wachusett Community College,NULL,7067,NULL,13092,0.4883,NULL,0.3035,17.9,11098,30193,29500
Cortiva Institute-Boston,NULL,NULL,21725,NULL,0.2184,NULL,0.4027,7.6,7917,42140,32100
School of the Museum of Fine Arts-Boston,0.7681,NULL,35055,52303,0.2731,0.6,0.5808,6.2,25125,52613,31600
Everest Institute-Brighton,NULL,NULL,20745,NULL,0.7788,NULL,0.6588,18.2,9500,15762,27500
Rob Roy Academy-New Bedford,NULL,NULL,14589,NULL,0.5882,NULL,0.6471,19.3,9500,15757,NULL
