INSTNM,ADM_RATE,NPT4_048_ALL,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Kentucky Mountain Bible College,0.5075,9.002,15.618,0.6429,0.7778,0.3929,15,NULL,18.45,NULL
Kentucky State University,0.3774,11.255,18.387,0.5945,0.1797,0.679,28.6,34.942,31.104,26.6
Kentucky Wesleyan College,0.671,13.354,29.725,0.472,0.3786,0.9071,10.5,23.65,56.064,36.6
University of Kentucky,0.6861,10.459,22.42,0.2481,0.6184,0.4597,7.2,20.5,57.564,41.5
Kentucky Christian University,0.5136,17.636,29.246,0.4948,0.3865,0.8049,11.9,27,48.4505,28
Lindsey Wilson College,NULL,15.077,33.342,0.6382,0.2983,0.8083,15.9,19.169,30.604,28
University of Louisville,0.7112,10.095,21.922,0.2999,0.5343,0.4323,9.6,21.5,45.5975,37.7
Mid-Continent University,0.7031,27.033,29.971,0.5635,0.2538,0.5626,NULL,13.835,41.495,38.3
Midway College,0.5381,18.32,33.132,0.5132,0.5246,0.7476,10.3,22.845,37.808,36.6
Morehead State University,0.8449,8.751,17.805,0.3825,0.4035,0.511,12.5,24.093,32.312,31.8
Murray State University,0.8217,7.547,16.397,0.3523,0.5291,0.4958,10.2,21.583,46.0545,35.5
Northern Kentucky University,0.467,5.523,14.603,0.3368,0.3792,0.5491,9.9,24.4585,53.63,36.1
University of Pikeville,1,13.102,31.005,0.4762,0.309,0.7168,12.5,19.5,24.191,30.4
Spalding University,0.8108,15.24,31.021,0.4731,0.4019,0.7012,8.7,26.9805,33.3775,40
Thomas More College,0.8775,18.276,36.843,0.2612,0.5703,0.5357,7.3,27,66.0175,45.8
Transylvania University,0.9615,15.801,41.374,0.2709,0.7224,0.5829,4.1,27,82.262,41.1
Union College,0.7416,16.454,31.769,0.58,0.3418,0.7964,13.2,NULL,33.7805,32.5
Western Kentucky University,0.9232,10.415,16.538,0.3934,0.4368,0.5413,13.7,24.431,42.1985,34.6
Centenary College of Louisiana,0.6597,14.322,40.578,0.3539,0.59,0.5358,11,25,72.994,39.3
Dillard University,0.3544,15.6,25.343,0.7682,0.4566,0.8707,11.4,32.925,31.979,34
Grambling State University,0.4363,13.881,20.881,0.7346,0.3167,0.8446,16.2,38.1725,23.973,28.3
Louisiana State University Health Sciences Center-New Orleans,NULL,NULL,NULL,0.2239,NULL,0.5177,0.9,16.229,29.65,61.1
Louisiana State University-Alexandria,0.6074,11.001,14.276,0.4093,0.138,0.371,12.2,17.75,25.217,30.5
Louisiana State University and Agricultural & Mechanical College,0.7623,6.759,20.422,0.1978,0.6914,0.3532,4.3,19.5,52.648,45.9
Louisiana State University-Shreveport,0.8349,6.278,15.066,0.2997,0.3255,0.3237,10.5,20.322,28.984,36.7
Louisiana College,0.7423,12.652,22.94,0.454,0.4251,0.589,10.9,22.707,49.5545,39.6
Louisiana Tech University,0.6744,7.225,16.983,0.2218,0.4934,0.304,7.5,20.9845,43.568,41.1
Loyola University New Orleans,0.8707,17.004,46.676,0.2972,0.5486,0.5825,5.3,26.07,72.625,41.3
McNeese State University,0.6151,6.711,14.823,0.3639,0.3817,0.4129,12.9,21.75,33.535,36.8
University of New Orleans,0.5036,7.512,16.212,0.3202,0.3214,0.3476,9,17.821,27.6305,38.4
Nicholls State University,0.8694,7.931,16.071,0.3935,0.4126,0.4958,8.6,21.8885,32.0695,35
University of Louisiana at Monroe,0.7724,6.418,14.925,0.3727,0.4017,0.4092,10.7,21.207,28.606,35.7
Northwestern State University of Louisiana,0.84,7.019,16.605,0.4023,0.3739,0.4878,12.6,23.5,27.4445,35
Our Lady of Holy Cross College,0.4847,10.794,17.887,0.4573,0.2805,0.6594,5.5,30.1585,29.0625,39.1
Saint Joseph Seminary College,NULL,25.898,30.965,0.2308,0.75,0.0192,0,NULL,15.651,NULL
Southeastern Louisiana University,0.448,7.694,15.729,0.3334,0.3582,0.3998,8.7,21.465,32.1095,35.4
Southern University and A & M College,0.359,14.195,17.928,0.6277,0.3183,0.7496,9.9,32.075,23.636,31.6
Southern University at New Orleans,0.4888,8.474,10.889,0.6273,0.1119,0.6803,15.1,27.269,16.097,29
University of Louisiana at Lafayette,0.593,6.883,15.342,0.3405,0.4482,0.3735,9.3,20.898,35.091,37.9
Tulane University of Louisiana,0.2643,21.579,58.904,0.1617,0.7602,0.3702,5.5,27,45.8635,52.4
Xavier University of Louisiana,0.5443,19.592,27.55,0.5739,0.4804,0.7093,11.6,27,38.6605,46.5
College of the Atlantic,0.7367,15.129,48.639,0.3006,0.6905,0.5421,5.4,19,56.456,27
Bates College,0.2417,11.885,59.285,0.1112,0.9299,0.255,1.4,17.058,106.531,53.5
Bowdoin College,0.1495,6.731,58.2,0.1376,0.9326,0.1963,0.6,19.5,89.7805,54.8
Colby College,0.2604,6.443,57.3,0.1079,0.9251,0.205,2.5,19.461,104.003,53
Husson University,0.7989,14.188,25.019,0.2796,0.4654,0.5926,9.7,26,46.67,37.1
University of Maine at Augusta,NULL,9.258,13.927,0.5671,0.137,0.6228,22.7,21.3355,23.089,26.4
University of Maine at Farmington,0.837,11.697,20.415,0.4601,0.5511,0.7717,7.5,27,58.522,33.2
University of Maine at Fort Kent,0.6293,10.83,17.314,0.3216,0.4273,0.4269,14.6,19.973,35.325,31.2
University of Maine at Machias,0.854,7.768,17.38,0.4086,0.3091,0.4357,19.8,21.25,28.802,27
University of Maine,0.8106,13.534,22.461,0.3718,0.5556,0.6405,6.3,27,60.423,38.7
Maine Maritime Academy,0.6536,16.759,23.673,0.288,0.752,0.7978,5.1,27,68.682,74.7
University of Maine at Presque Isle,NULL,8.718,16.492,0.3636,0.3077,0.4429,17.7,22.0125,33.804,27.2
University of New England,0.8584,25.499,47.931,0.2279,0.5966,0.6868,4.5,27,74.608,44.8
Maine College of Art,0.9625,27.356,43.313,0.4309,0.45,0.8211,4.6,27,62.658,23.7
Saint Joseph's College of Maine,0.7778,24.23,43.119,0.2435,0.5543,0.5758,5.7,27,77.122,37.9
University of Southern Maine,0.828,14.707,22.29,0.3636,0.3356,0.5807,6.8,24.25,49.417,36.5
Thomas College,0.7244,16.057,33.792,0.3331,0.4298,0.5895,9.3,23,55.433,36.6
Unity College,0.8882,15.988,34.137,0.4413,0.5141,0.8585,3.9,27,56.517,36.1
University of Baltimore,0.7295,14.576,24.835,0.4264,0.3759,0.5768,8,20.5,31.331,58
Bowie State University,0.5176,9.321,18.581,0.4873,0.3524,0.6808,16.1,23.32,45.228,47
Capitol College,0.5903,20.898,30.826,0.356,0.4286,0.5351,8.4,23,53.209,58.9
Washington Adventist University,0.3271,15.61,27.99,0.5393,0.3651,0.7881,10.1,31.25,42.673,46.8
Coppin State University,0.355,10.266,16.147,0.5964,0.1387,0.6943,22.5,19.031,29.366,37.6
Frostburg State University,0.5945,14.472,19.454,0.35,0.4655,0.6128,10.4,22.6175,68.3655,43.6
Goucher College,0.7173,15.758,50.84,0.2399,0.6792,0.5458,3.5,25,88.524,45.5
Hood College,0.8102,17.792,45.23,0.3424,0.6644,0.7329,4.9,27,72.812,43.1
Johns Hopkins University,0.1813,10.235,58.98,0.1307,0.9254,0.3918,1.7,18.5,57.7615,69.2
Loyola University Maryland,0.58,23.657,56.736,0.1414,0.8437,0.5407,2.9,27,112.164,62.1
University of Maryland-University College,NULL,9.358,13.222,0.2391,0.0278,0.3028,9,21,34.322,50.7
University of Maryland-Baltimore,NULL,NULL,NULL,0.2005,NULL,0.5014,1.6,14.5,20.052,80.4
University of Maryland-Baltimore County,0.6315,13.77,22.024,0.2695,0.6458,0.4251,5.6,21.5,59.891,53.5
University of Maryland-College Park,0.4699,9.42,22.933,0.1907,0.8406,0.3581,2.8,19.5,75.194,59.1
Maryland Institute College of Art,0.5803,29.302,52.649,0.2429,0.7273,0.6126,4.4,27,89.961,31.4
University of Maryland Eastern Shore,0.5502,11.681,20.587,0.5506,0.3246,0.6948,17.1,27.5,40.227,37.8
Morgan State University,0.5757,12.325,20.108,0.6152,0.3375,0.8105,23,31,40.2635,39.7
Mount St Mary's University,0.6741,21.338,45.896,0.2269,0.6563,0.6374,4.6,27,98.879,50.3
Ner Israel Rabbinical College,0.8154,5.65,20.3,0.1977,0.3061,0,0,NULL,19.751,NULL
Notre Dame of Maryland University,0.4964,18.522,41.871,0.3024,0.5283,0.5355,5.2,27.5,56.669,48.8
Salisbury University,0.5494,12.002,20.916,0.2209,0.6681,0.5213,6.5,20.443,87.9195,47.3
St Mary's College of Maryland,0.7204,9.289,29.174,0.152,0.7931,0.4135,1.4,21.6715,103.5815,48.2
Sojourner-Douglass College,NULL,22.048,26.17,0.7078,0.1967,0.831,14.2,35.5,24.563,34.1
St John's College_1,0.8099,23.302,56.867,0.2383,0.6338,0.6281,0,25.5,87.6725,34.3
Towson University,0.6034,10.12,21.596,0.2498,0.655,0.5047,5.2,19,71.2795,49.5
Stevenson University,0.5959,17.872,38.785,0.303,0.5613,0.6099,8.4,25,77.52,51.4
Washington College,0.6655,18.056,52.243,0.1488,0.6821,0.6872,3.5,27,108.6635,48.3
McDaniel College,0.7587,14.291,45.866,0.3073,0.7175,0.6629,3.2,27,89.429,44.6
New England College of Business and Finance,NULL,11.287,14.275,0.2008,1,0.3215,12,20.704,NULL,NULL
American International College,0.6779,18.348,40.803,0.5027,0.4487,0.8331,6,27,49.259,42.4
Amherst College,0.1428,3.739,59.06,0.1998,0.9578,0.1321,4.5,11.1855,85.922,56.8
Anna Maria College,0.7756,21.556,42.77,0.3655,0.469,0.7888,10,26,67.437,42.4
Assumption College,0.7422,18.615,46.763,0.2297,0.7273,0.7146,3.5,27,103.026,52.8
Babson College,0.2821,18.935,58.45,0.1613,0.9073,0.3737,1,27,80.987,85.5
Boston Baptist College,0.8065,21.04,31.101,0.5,0.3182,0.75,9,26.826,62.144,NULL
Bay Path College,0.576,18.157,40.447,0.5289,0.555,0.8832,7.5,21.5385,45.278,41.9
Becker College,0.6255,25.171,44.041,0.3888,0.3069,0.8154,14.9,27.166,54.112,35.8
Bentley University,0.4379,20.544,54.806,0.1554,0.8727,0.5074,1,27,93.494,74.9
Berklee College of Music,0.3617,40.424,56.335,0.1889,0.4963,0.418,13.6,27,79.421,30.3
Boston Architectural College,NULL,31.544,36.082,0.4418,0.0658,0.789,11.9,45.202,46.9505,41.6
Boston College,0.3222,16.196,58.639,0.1371,0.913,0.4131,1.4,19,81.102,67
The Boston Conservatory,0.3645,35.12,59.631,0.1958,0.6716,0.5551,5.8,27,84.542,27.5
Boston University,0.4561,23.573,59.036,0.1487,0.8448,0.4235,2,27,91.507,60.6
Brandeis University,0.3704,14.265,58.85,0.1781,0.8959,0.5092,2.4,27,97.995,58.8
Bridgewater State University,0.786,14.68,19.303,0.2372,0.5751,0.5298,7.9,24.998,72.56,41.5
Cambridge College,NULL,23.361,26.815,0.3862,0.0245,0.545,8.5,24.5,29.5065,36.5
Clark University,0.6154,18.293,47.248,0.2071,0.8094,0.5548,3.6,26,75.7205,44.1
Curry College,0.6692,26.219,47.519,0.2555,0.4502,0.6274,8.6,26,74.416,43.6
Eastern Nazarene College,0.5579,17.454,36.567,0.4928,0.5,0.4475,6.2,27,59.931,44.4
Emerson College,0.4798,28.795,51.158,0.1702,0.8147,0.5678,2.5,23.312,94.808,44.8
Emmanuel College_2,0.6049,25.423,49.487,0.2337,0.5808,0.6753,5.6,27,81.534,42.4
Endicott College,0.7165,24.687,44.177,0.1575,0.7129,0.6392,2.8,27,109.4995,42.8
Fitchburg State University,0.7211,9.013,17.686,0.3416,0.5029,0.6887,7.8,21.75,70.6095,42.1
Framingham State University,0.5167,12.515,21.402,0.2829,0.5055,0.6681,6,23.853,72.2225,43.2
Gordon College,0.4133,21.034,43.14,0.2213,0.707,0.7229,1,27,88.787,41.6
Hampshire College,0.6369,24.301,57.765,0.217,0.6607,0.5948,3.2,20,88.959,30.8
Harvard University,0.0584,3.386,57.95,0.1016,0.9747,0.029,1.9,6,33.3235,87.2
Hebrew College,NULL,NULL,NULL,0.2857,NULL,0.2857,4.8,NULL,NULL,NULL
Hellenic College-Holy Cross Greek Orthodox School of Theology,NULL,26.722,38.08,0.2727,0.4118,0.3636,5.4,16.2675,39.114,NULL
College of the Holy Cross,0.3297,15.607,56.706,0.1627,0.9136,0.5249,1.9,27,108.458,63.7
Lasell College,0.7614,20.741,43.854,0.319,0.5294,0.8689,6.8,26,77.869,40.9
Lesley University,0.6749,28.746,47.788,0.2621,0.4602,0.6356,4.4,25,55.849,36.7
University of Massachusetts-Lowell,0.6397,10.258,22.861,0.2989,0.5426,0.597,7.3,25,61.757,48.9
University of Massachusetts-Amherst,0.6294,12.437,25.665,0.2513,0.7266,0.6043,5.6,24.25,75.2705,49.6
University of Massachusetts-Boston,0.7141,8.084,19.763,0.3831,0.4358,0.5642,8.6,NULL,33.287,45.8
MCPHS University,0.8921,29.807,43.966,0.3009,0.7053,0.783,1.8,25,61.624,116.4
Massachusetts College of Art and Design,0.6982,15.901,25.384,0.2565,0.7382,0.5535,9.3,26,60.374,34
Massachusetts Institute of Technology,0.0815,6.733,57.01,0.1825,0.9307,0.1992,1.7,13.645,79.076,91.6
Massachusetts Maritime Academy,0.7726,7.519,22.42,0.186,0.6667,0.7462,6.3,27,86.279,79.5
Merrimack College,0.786,23.675,46.532,0.223,0.5995,0.735,4.5,27,108.518,55.4
MGH Institute of Health Professions,NULL,NULL,NULL,0,NULL,0.7953,0.3,25,51.647,NULL
Montserrat College of Art,NULL,20.004,37.866,0.3788,0.5974,0.7601,10.3,27,75.05,25.1
Mount Holyoke College,0.4681,14.175,55.496,0.203,0.8187,0.4533,5.6,21,73.4145,44.1
Mount Ida College,0.6065,25.132,41.565,0.3925,0.3952,0.7741,7.9,27,61.177,34.7
School of the Museum of Fine Arts-Boston,0.7681,35.055,52.303,0.2731,0.6,0.5808,6.2,25.125,52.613,31.6
The New England Conservatory of Music,0.2777,32.275,54.125,0.156,0.8588,0.4404,0.7,28.626,33.084,29.5
New England College of Optometry,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,5.383,88.5
Newbury College,0.5953,21.96,40.611,0.5043,0.309,0.773,13.9,27,48.3585,38.3
Nichols College,0.8047,23.873,44.886,0.3502,0.4656,0.876,12.1,27,81.3005,47.1
Massachusetts College of Liberal Arts,0.672,11.963,20.025,0.4513,0.5659,0.8456,5.8,25,56.4215,36.4
The New England Institute of Art,NULL,27.147,33.728,0.4933,0.3539,0.8175,14.7,29.444,53.956,34.9
Northeastern University,0.3231,20.14,55.914,0.1424,0.8256,0.4433,4.2,28.8045,83.394,60.1
College of Our Lady of the Elms,0.7492,16.464,40.802,0.3967,0.6788,0.7287,8.2,27,71.1065,43.7
Pine Manor College,0.6411,12.779,36.852,0.6562,0.3353,0.7098,28.3,32,34.277,34.7
Regis College,0.7243,33.913,47.432,0.3577,0.4867,0.7215,11.3,27,55.309,43.3
Saint John's Seminary,1,NULL,NULL,0,NULL,0,0,NULL,NULL,NULL
Salem State University,0.6929,11.8,20.601,0.3339,0.4558,0.5898,8.6,25.428,51.386,40.4
Simmons College,0.4897,21.14,51.093,0.2573,0.7122,0.7305,2.1,26,67.781,51.4
Smith College,0.4308,10.36,57.913,0.2264,0.8613,0.5428,3.1,19.5,68.7085,42.7
Springfield College,0.6992,20.17,44.829,0.2192,0.6856,0.8985,5.6,25,50.43,45.1
University of Massachusetts-Dartmouth,0.7213,12.581,23.763,0.3799,0.4903,0.717,9.7,25.921,69.5315,44.8
Stonehill College,0.7091,19.764,50.677,0.1441,0.8483,0.6856,0.4,27,116.545,58.8
Suffolk University,0.825,22.9,45.28,0.292,0.5489,0.5983,7.1,27,64.594,49.9
Tufts University,0.1884,10.291,58.752,0.1132,0.9219,0.301,2.3,18.125,64.738,67.8
Wellesley College,0.2911,10.542,57.164,0.1922,0.9068,0.2534,1.2,8.225,74.657,56.7
Wentworth Institute of Technology,0.5761,25.754,43.85,0.2822,0.6251,0.722,4.5,27,81.863,54.6
Western New England University,0.8151,23.804,45.85,0.2502,0.5961,0.748,5.6,27,87.684,55.1
Westfield State University,0.7487,12.199,19.468,0.2609,0.585,0.6121,4.6,23.026,78.18,43.3
Wheaton College_2,0.6737,20.018,56.934,0.2172,0.756,0.5941,5.1,24,92.594,46.4
Wheelock College,0.7318,24.909,45.591,0.3466,0.5446,0.7918,3.9,27,65.102,36.4
Williams College,0.1702,8.202,59.412,0.1903,0.9536,0.2478,1.8,12.005,88.4035,58.1
Worcester Polytechnic Institute,0.5159,27.224,55.866,0.1508,0.8124,0.5956,3.7,27,93.479,77.6
Worcester State University,0.6062,10.907,18.494,0.271,0.4882,0.5427,5.8,19.503,62.7765,43.7
Adrian College,0.5628,15.522,40.199,0.4368,0.5445,0.8015,7.7,27,71.0085,36.5
Albion College,0.5639,19.034,45.69,0.2366,0.736,0.6172,5.3,27,85.0275,45.1
Alma College,0.6791,15.096,43.157,0.306,0.6118,0.9151,7.8,27,74.312,44.7
Andrews University,0.3751,17.118,33.653,0.3155,0.6036,0.5554,7.6,29.5,53.737,36
Aquinas College,0.7135,11.191,34.593,0.3356,0.5976,0.6993,9.2,25,72.085,38.1
Calvin College,0.6975,18.289,39.013,0.2326,0.7273,0.5545,2.5,26.87,93.258,40.9
Central Michigan University,0.6304,10.704,21.523,0.349,0.5929,0.7469,6.2,27,70.2335,40
Cleary University,0.7263,12.685,17.823,0.4984,0.4423,0.6828,7.7,26.125,55.34,50.5
Concordia University-Ann Arbor,0.5374,17.521,33.441,0.4269,0.3723,0.8772,NULL,26.75,66.241,39
College for Creative Studies,0.486,32.827,46.095,0.3702,0.5583,0.6999,6.6,28.25,65.746,40.6
Davenport University,0.917,17.374,25.439,0.5275,0.3892,0.6966,12,30.25,26.029,29.9
University of Detroit Mercy,0.6147,24.261,48.027,0.2873,0.5682,0.6161,6.1,25,44.772,42.2
Eastern Michigan University,0.6398,11.017,18.905,0.447,0.3844,0.7528,12.9,26,52.069,37.3
Ferris State University,0.759,10.329,21.498,0.4123,0.4319,0.6678,9.5,25.522,59.172,40.3
Kettering University,0.6159,27.551,49.303,0.2523,0.6078,0.5905,5.3,26.7615,83.977,74.9
Grace Bible College,0.7486,11.682,20.912,0.634,0.4878,0.8135,1.8,23.374,49.384,NULL
Cornerstone University,0.6807,15.79,33.912,0.4352,0.4571,0.7596,7.6,23.469,55.078,35.6
Grand Valley State University,0.826,11.713,21.512,0.3632,0.695,0.642,5.1,26.5,72.8855,39.1
Great Lakes Christian College,NULL,17.303,25.506,0.7596,0.25,0.8251,13.5,NULL,44.638,29.1
Hope College,0.7253,15.464,38.593,0.204,0.7814,0.5704,3.5,27,91.493,43.3
Kalamazoo College,0.6689,11.5,48.547,0.1856,0.7741,0.5149,1.3,27,97.614,49.4
Lake Superior State University,0.9183,7.445,19.571,0.4152,0.42,0.5991,12.4,25.869,48.687,35.7
Lawrence Technological University,0.4365,24.356,39.89,0.1847,0.4939,0.3302,8.5,27.85,63.62,53.7
Madonna University,0.6125,9.718,22.629,0.3568,0.4294,0.583,7.3,25,41.1195,36.5
Marygrove College,0.9378,12.157,25.733,0.7044,0.2931,0.8721,6.7,35,20.826,26.8
Rochester College,0.6567,17.544,26.399,0.3883,0.4301,0.6486,7.1,21.5,43.866,34.5
University of Michigan-Ann Arbor,0.3326,7.156,25.76,0.157,0.8997,0.3665,2.1,22,69.63,57.9
Michigan State University,0.6865,8.734,23.74,0.2387,0.7736,0.4845,5.7,25.714,78.152,49.8
Michigan Technological University,0.7659,9.907,24.724,0.267,0.6453,0.5969,6,27,76.8685,60.1
University of Michigan-Dearborn,0.6284,6.908,15.831,0.4298,0.518,0.6704,8.1,25,38.952,47.4
University of Michigan-Flint,0.7809,8.446,16.731,0.4522,0.3754,0.7483,8.9,28.3765,38.562,40.1
Northern Michigan University,0.7313,9.507,18.466,0.3848,0.4829,0.6408,12.1,22.319,57.707,34.8
Northwood University-Michigan,0.6538,11.349,32.803,0.3353,0.5414,0.6951,9.6,23.4745,49.456,44.6
Oakland University,0.66,7.514,19.198,0.2034,0.4295,0.3689,6.2,25,56.986,42.6
Olivet College,0.5148,16.16,31.515,0.457,0.4341,0.8011,12.1,27,57.515,34.1
Kuyper College,0.6842,16.013,26.213,0.5949,0.4179,0.7595,10.6,25.5,60.731,29
Sacred Heart Major Seminary,1,NULL,NULL,0.1288,0.5,0.0833,3.4,NULL,20.359,NULL
Saginaw Valley State University,0.7865,11.837,17.876,0.4075,0.3894,0.6985,9.5,27,51.643,37.8
Siena Heights University,0.6765,14.985,31.98,0.4343,0.431,0.6817,5.8,18.75,48.925,38.1
Spring Arbor University,0.6505,13.191,32.709,0.449,0.5673,0.74,5.9,24.85,55.0095,40.4
Finlandia University,0.5883,16.584,29.377,0.6462,0.4625,0.8301,9.5,27.5,41.9225,26.6
Walsh College of Accountancy and Business Administration,NULL,NULL,NULL,0.4181,NULL,0.6065,3.1,16.485,39.2175,54.5
Wayne State University,0.7624,10.815,20.199,0.4804,0.3235,0.5944,12.5,21.5,30.3045,41.5
Western Michigan University,0.8285,14.113,22.483,0.3969,0.5491,0.68,7.7,27,74.325,42.7
Augsburg College,0.6086,16.624,42.531,0.4338,0.6326,0.7115,6,27,60.818,44.8
Bemidji State University,0.6678,9.992,18.166,0.3557,0.4758,0.594,8.5,21.5,53.717,37.3
Bethany Lutheran College,0.7458,12.39,32.531,0.4064,0.4943,0.7575,5.7,25,68.5465,34
Bethel University_1,0.9485,17.858,42.692,0.27,0.7136,0.6746,3.6,23.95,82.52,44
Carleton College,0.2095,10.233,58.275,0.1231,0.9214,0.4749,2.3,17.5,91.1755,46.1
Concordia College at Moorhead,0.7998,13.84,39.803,0.2426,0.7101,0.68,2,27,84.068,41.2
Concordia University-Saint Paul,0.5239,16.162,40.267,0.3539,0.4627,0.6249,6.4,23,57.9935,45.3
Martin Luther College,0.9617,12.628,20.74,0.3518,0.7684,0.6873,2.8,20.25,63.952,40.4
Gustavus Adolphus College,0.6322,15.875,48.422,0.2478,0.8228,0.6884,2.3,27,93.107,50.1
Hamline University,0.6557,17.556,43.433,0.3852,0.6637,0.7432,4,25.0185,61.451,46.9
The Art Institutes International-Minnesota,NULL,23.922,31.098,0.5449,0.3513,0.8573,13.4,30.609,46.258,33
Macalester College,0.3416,13.329,55.393,0.172,0.8742,0.4884,1.6,23.5015,85.4395,45.7
Minnesota State University-Mankato,0.6555,10.068,17.578,0.2906,0.4904,0.59,4.7,23.029,71.852,42.7
Metropolitan State University,1,11.604,18.17,0.4156,0.3387,0.5207,6.6,18.75,34.503,43.6
University of Minnesota-Twin Cities,0.4442,10.322,24.278,0.2169,0.754,0.4516,3.6,21.5,72.9085,47.8
University of Minnesota-Crookston,0.6916,8.381,21.549,0.2388,0.4369,0.3976,8.1,20,56.026,39.9
Minneapolis College of Art and Design,0.5895,21.956,41.935,0.3907,0.5959,0.8781,7.5,27,77.197,31.4
Crossroads College,0.2143,13.458,25.235,0.6815,0.4,0.758,12.7,27,54.181,27.9
University of Minnesota-Duluth,0.7822,9.373,22.796,0.2431,0.5883,0.5882,4.4,25,83.2945,43.3
University of Minnesota-Morris,0.5764,8.574,22.853,0.2932,0.6341,0.5037,5.6,20,71.476,38.8
Minnesota School of Business-Richfield,NULL,21.245,30.125,0.5558,0.3333,0.7315,15.7,31.0615,33.023,35.7
Minnesota State University-Moorhead,0.8911,10.814,18.028,0.3314,0.4624,0.6301,6.9,23.0555,64.384,37
Brown College-Mendota Heights,NULL,16.302,23.7,0.6159,0.5,0.8478,19.5,30.5,35.6195,33.7
North Central University,0.9521,17.807,28.8,0.398,0.4549,0.7807,4.2,27,60.825,29.6
University of Northwestern-St Paul,0.6915,19.395,37.803,0.2787,0.6844,0.5087,3.9,22.43,65.093,35.3
Northwestern Health Sciences University,NULL,13.363,23.983,0.3009,0.6667,0.6903,2.8,5.85,14.88,42.5
Oak Hills Christian College,0.5873,14.725,25.3,0.6154,0.5667,0.6713,5,23.6,43.6085,25.5
College of Saint Benedict,0.7554,17.48,47.734,0.2391,0.816,0.6478,1.1,26.337,94.964,47.6
Saint Cloud State University,0.8691,10.95,17.892,0.3073,0.478,0.5095,7.2,23.25,66.431,40.8
Saint Johns University,0.7516,14.971,46.397,0.1947,0.7946,0.6095,2.4,27,99.495,55.9
Saint Mary's University of Minnesota,0.7485,15.621,38.47,0.3149,0.5516,0.6297,3.2,23,75.332,41.6
St Olaf College,0.5919,12.864,50.55,0.1489,0.8708,0.5255,1.6,26.531,98.006,44.8
Crown College,0.55,18.516,34.574,0.4881,0.5563,0.7022,6.1,27,53.5875,31.6
The College of Saint Scholastica,0.7265,16.719,40.685,0.3057,0.6838,0.689,4.7,23,63.879,47.5
University of St Thomas_1,0.8617,24.384,48.421,0.2023,0.751,0.5738,4.2,26.5,96.397,54.3
St Catherine University,0.6089,21.178,43.356,0.4147,0.5396,0.7682,5.2,28.5,52.0835,45.3
Southwest Minnesota State University,0.6546,11.099,19.109,0.1591,0.4283,0.2639,7.5,24.2,56.016,35.6
Winona State University,0.6075,12.56,20.449,0.2685,0.5646,0.6431,4.4,24,80.304,41.9
Alcorn State University,0.8291,13.552,20.33,0.7918,0.3463,0.8872,15.8,27.9405,21.25,30.6
Belhaven University,0.4842,20.94,33.375,0.5109,0.3983,0.7219,5.6,31.25,36.084,37.9
Blue Mountain College,0.5573,7.39,16.926,0.5299,0.5088,0.5697,18,NULL,34.94,31.3
Delta State University,0.8941,12.775,17.749,0.4927,0.3543,0.5628,12.1,21.3,25.2975,33.8
Jackson State University,0.6464,13.105,18.724,0.6476,0.3852,0.7633,14.9,31,21.113,29.5
Millsaps College,0.4745,20.786,44.435,0.2183,0.6318,0.5362,5.6,27,65.693,45.2
University of Mississippi,0.5936,11.459,21.526,0.2975,0.5797,0.4625,7.5,21.5,46.8265,40.6
University of Mississippi Medical Center,NULL,NULL,NULL,0.2297,NULL,0.5375,7.5,21.5,46.8265,40.6
Mississippi University for Women,0.4349,9.364,15.935,0.4934,0.366,0.6237,11.8,16.473,26.756,34.8
Mississippi Valley State University,0.2272,10.026,17.758,0.69,0.2598,0.7721,15.9,29.038,17.447,22.4
Mississippi College,0.673,13.942,25.976,0.3646,0.5305,0.5983,5.9,26.25,37.912,38.2
Mississippi State University,0.6482,14.158,20.796,0.3415,0.6105,0.5046,8.3,23.25,41.2435,39.6
Rust College,0.1386,8.436,14.466,0.8758,0.2019,0.8983,23.7,23.974,19.293,22.9
Southeastern Baptist College,NULL,3.922,6.753,0.8846,0.6875,0,0,NULL,17.0725,NULL
University of Southern Mississippi,0.6631,11.565,18.781,0.4644,0.4513,0.6934,12,25,29.062,36.2
Tougaloo College,0.3551,10.84,20.179,0.8498,0.495,0.8179,18.4,34.5,24.466,29.5
William Carey University,0.4877,16.972,23.962,0.6601,0.6196,0.7997,7.6,23.9785,25.265,34.1
Avila University,0.6108,15.955,34.898,0.4332,0.4912,0.7291,7.9,26.5,53.028,41.6
Baptist Bible College,NULL,11.531,16.646,0.4984,0.3496,0.5794,8.7,19.95,47.731,29.5
Calvary Bible College and Theological Seminary,0.8696,13.602,18.781,0.4545,0.5,0.428,7.6,19.105,35.748,30.6
Central Christian College of the Bible,0.5838,12.813,26.62,0.5435,0.4435,0.7327,8.6,15,42.984,28.1
Central Methodist University-College of Liberal Arts and Sciences,0.6506,15.011,32,0.439,0.4407,0.7442,10.6,17.285,44.654,33.4
University of Central Missouri,0.8083,12.206,18.355,0.3814,0.5358,0.6299,10.3,23.45,56.271,36.6
Cleveland University-Kansas City,NULL,NULL,38.183,0.443,0,0.9114,6.7,8.625,32.083,37.8
Columbia College_1,NULL,12.766,17.611,0.5281,0.4084,0.5843,13.3,23.47,32.2115,37.6
