INSTNM,ADM_RATE,NPT4_048_ALL,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Central Baptist College,0.5407,9.362,20.386,0.4531,0.3874,0.5745,10.6,20.501,44.821,35.7
Harding University,0.7628,20.605,25.475,0.2631,0.6219,0.5573,4.4,26.25,76.594,38.6
Henderson State University,0.6221,7.947,18.033,0.5296,0.2854,0.5985,15.4,20.191,32.258,35.2
Hendrix College,0.8039,18.16,50.172,0.1792,0.6959,0.4487,6.6,24.924,80.333,40.5
John Brown University,0.6982,13.881,33.326,0.3184,0.6537,0.5333,4.8,22.5,53.8415,46.2
Ouachita Baptist University,0.7011,13.481,31.473,0.2702,0.6022,0.5033,6.6,23.5,71.658,37.5
University of the Ozarks,0.6136,13.337,34.532,0.3906,0.4831,0.4826,15.5,24,44.123,31.1
Philander Smith College,NULL,18.903,24.877,0.7282,0.4462,0.8784,16.4,31,21.262,26.2
Williams Baptist College,0.6798,10.177,22.33,0.5265,0.3985,0.6307,12.8,19,39.189,32.3
Southern Arkansas University Main Campus,0.6081,6.941,17.738,0.5152,0.2973,0.5054,18.1,17.2165,27.662,35.9
University of Arkansas-Fort Smith,0.5736,6.471,14.335,0.5053,0.2291,0.4018,25.1,17.432,25.892,29.9
Academy of Art University,NULL,28.554,34.512,0.4242,0.3188,0.5957,15.5,34,37.597,36.1
Art Center College of Design,0.8167,40.645,56.4,0.3687,0.6436,0.5106,7.2,36.187,28.815,51.7
Azusa Pacific University,0.7985,24.083,44.021,0.2858,0.6486,0.5697,4.1,25,72.3355,49
Bethesda University of California,0.8321,6.914,11.741,0.75,0.7826,0.3906,6.6,NULL,21.8135,NULL
Biola University,0.7286,26.084,44.573,0.3103,0.6819,0.7762,2.2,23.969,71.594,40.7
Brooks Institute,0.98,27.414,32.699,0.4281,0.3654,0.6944,12.6,31,51.9375,29.1
California Institute of Integral Studies,NULL,NULL,NULL,0.5699,NULL,0.828,5.4,18.75,25.628,NULL
California Baptist University,0.788,21.188,39.026,0.4777,0.5808,0.7734,6.7,27.6865,63.947,41.8
California College of the Arts,0.8157,25.114,53.837,0.3241,0.6183,0.5304,6.7,27,37.618,35.7
California Institute of Technology,0.1055,8.918,56.382,0.1063,0.9307,0.2508,0,18.3485,53.201,74
California Lutheran University,0.4802,21.984,48.63,0.2578,0.7005,0.556,3.8,23,76.461,52.9
California Polytechnic State University-San Luis Obispo,0.3123,10.654,23.867,0.1975,0.6972,0.3482,3.1,19.5,72.114,60.9
Alliant International University,0.4922,19.768,28.901,0.3228,NULL,0.381,2.7,2,18.711,51.8
California State University-Bakersfield,0.6626,6.601,18.061,0.5843,0.3946,0.4158,9.6,16.1745,28.0695,48.1
California State University-Stanislaus,0.7215,5.128,17.161,0.5774,0.5198,0.4286,4.9,16.5,31.6585,44.9
California State University-San Bernardino,0.5831,5.231,17.03,0.5799,0.4112,0.4698,9.7,18.482,28.9865,45.5
